iid, gini, variation, num_ratings, rating_avg, rating_std, phi, avg_phi, entropy, entropy_of_consumed_sum, entropy_of_consumed_avg, proportion_long_tailors
1, 0.12599, 0.23899, 452.00000, 3.87832, 0.92790, 0.66184, 0.00146, 1.28008, 0.66184, 0.00146, 0.44690
2, 0.16016, 0.30030, 131.00000, 3.20611, 0.96650, 0.32064, 0.00245, 1.34878, 0.32064, 0.00245, 0.42748
3, 0.22267, 0.39758, 90.00000, 3.03333, 1.21276, 0.19956, 0.00222, 1.55251, 0.19956, 0.00222, 0.42222
4, 0.14459, 0.27118, 209.00000, 3.55024, 0.96507, 0.47081, 0.00225, 1.33917, 0.47081, 0.00225, 0.44019
5, 0.15174, 0.28493, 86.00000, 3.30233, 0.94645, 0.20418, 0.00237, 1.32690, 0.20418, 0.00237, 0.43023
6, 0.19727, 0.35679, 26.00000, 3.57692, 1.30148, 0.05271, 0.00203, 1.51827, 0.05271, 0.00203, 0.42308
7, 0.13785, 0.25820, 392.00000, 3.79847, 0.98204, 0.61049, 0.00156, 1.33603, 0.61049, 0.00156, 0.43622
8, 0.13335, 0.25028, 219.00000, 3.99543, 1.00228, 0.43626, 0.00199, 1.30375, 0.43626, 0.00199, 0.40183
9, 0.14113, 0.26708, 299.00000, 3.89632, 1.04237, 0.45842, 0.00153, 1.34375, 0.45842, 0.00153, 0.44482
10, 0.14175, 0.26315, 89.00000, 3.83146, 1.01395, 0.17520, 0.00197, 1.35338, 0.17520, 0.00197, 0.42697
11, 0.14705, 0.27724, 236.00000, 3.84746, 1.06892, 0.48334, 0.00205, 1.36418, 0.48334, 0.00205, 0.41525
12, 0.09133, 0.18787, 267.00000, 4.38577, 0.82550, 0.51850, 0.00194, 1.04766, 0.51850, 0.00194, 0.43820
13, 0.16229, 0.30097, 184.00000, 3.41848, 1.03168, 0.33151, 0.00180, 1.40405, 0.33151, 0.00180, 0.40217
14, 0.13158, 0.25124, 183.00000, 3.96721, 0.99946, 0.28159, 0.00154, 1.29480, 0.28159, 0.00154, 0.44809
15, 0.13914, 0.25901, 293.00000, 3.77816, 0.98025, 0.43516, 0.00149, 1.33960, 0.43516, 0.00149, 0.46075
16, 0.17067, 0.31739, 39.00000, 3.20513, 1.03057, 0.07572, 0.00194, 1.39167, 0.07572, 0.00194, 0.38462
17, 0.20773, 0.37467, 92.00000, 3.11957, 1.17522, 0.21291, 0.00231, 1.50384, 0.21291, 0.00231, 0.40217
18, 0.25000, 0.44607, 10.00000, 2.80000, 1.31656, 0.02867, 0.00287, 1.55711, 0.02867, 0.00287, 0.10000
19, 0.13941, 0.26677, 69.00000, 3.95652, 1.06322, 0.10466, 0.00152, 1.32280, 0.10466, 0.00152, 0.49275
20, 0.19659, 0.35763, 72.00000, 3.41667, 1.23048, 0.13939, 0.00194, 1.51381, 0.13939, 0.00194, 0.48611
21, 0.20146, 0.37735, 84.00000, 2.76190, 1.04845, 0.18217, 0.00217, 1.38646, 0.18217, 0.00217, 0.33333
22, 0.11924, 0.23144, 297.00000, 4.15152, 0.96244, 0.56268, 0.00189, 1.22656, 0.56268, 0.00189, 0.43434
23, 0.10790, 0.20615, 182.00000, 4.12088, 0.85184, 0.36708, 0.00202, 1.16837, 0.36708, 0.00202, 0.46703
24, 0.15435, 0.28919, 174.00000, 3.44828, 1.00010, 0.33504, 0.00193, 1.36802, 0.33504, 0.00193, 0.42529
25, 0.16384, 0.29981, 293.00000, 3.44369, 1.03421, 0.49307, 0.00168, 1.41456, 0.49307, 0.00168, 0.42321
26, 0.13623, 0.25839, 73.00000, 3.45205, 0.89816, 0.18054, 0.00247, 1.24829, 0.18054, 0.00247, 0.47945
27, 0.18872, 0.35010, 57.00000, 3.10526, 1.09682, 0.15122, 0.00265, 1.41241, 0.15122, 0.00265, 0.42105
28, 0.10903, 0.20525, 276.00000, 3.93116, 0.80835, 0.53959, 0.00196, 1.17550, 0.53959, 0.00196, 0.46377
29, 0.20770, 0.38367, 114.00000, 2.66667, 1.02764, 0.28774, 0.00252, 1.40713, 0.28774, 0.00252, 0.45614
30, 0.10144, 0.21200, 37.00000, 3.94595, 0.84807, 0.09702, 0.00262, 1.10590, 0.09702, 0.00262, 0.54054
31, 0.12661, 0.24309, 154.00000, 3.62987, 0.88526, 0.35222, 0.00229, 1.25129, 0.35222, 0.00229, 0.41558
32, 0.14879, 0.27724, 81.00000, 3.79012, 1.05731, 0.19153, 0.00236, 1.38034, 0.19153, 0.00236, 0.41975
33, 0.16741, 0.30559, 97.00000, 3.45361, 1.06086, 0.23472, 0.00242, 1.43655, 0.23472, 0.00242, 0.34021
34, 0.25564, 0.47075, 7.00000, 2.71429, 1.38013, 0.02255, 0.00322, 1.47508, 0.02255, 0.00322, 0.28571
35, 0.30303, 0.58035, 11.00000, 2.18182, 1.32802, 0.02988, 0.00272, 1.38968, 0.02988, 0.00272, 0.18182
36, 0.21429, 0.40089, 13.00000, 2.15385, 0.89872, 0.04910, 0.00378, 1.23093, 0.04910, 0.00378, 0.30769
37, 0.23611, 0.43033, 8.00000, 2.25000, 1.03510, 0.03112, 0.00389, 1.32089, 0.03112, 0.00389, 0.25000
38, 0.17920, 0.33653, 120.00000, 3.00833, 1.01663, 0.29035, 0.00242, 1.37577, 0.29035, 0.00242, 0.36667
39, 0.17144, 0.31316, 87.00000, 3.26437, 1.02820, 0.21559, 0.00248, 1.42011, 0.21559, 0.00248, 0.40230
40, 0.20904, 0.38110, 57.00000, 2.89474, 1.11298, 0.15633, 0.00274, 1.42874, 0.15633, 0.00274, 0.35088
41, 0.20057, 0.36485, 37.00000, 3.08108, 1.13965, 0.10597, 0.00286, 1.48760, 0.10597, 0.00286, 0.35135
42, 0.15745, 0.29257, 148.00000, 3.80405, 1.11672, 0.33169, 0.00224, 1.40579, 0.33169, 0.00224, 0.40541
43, 0.14708, 0.28868, 40.00000, 3.00000, 0.87706, 0.11956, 0.00299, 1.21085, 0.11956, 0.00299, 0.30000
44, 0.15842, 0.30070, 79.00000, 3.34177, 1.01130, 0.22357, 0.00283, 1.34125, 0.22357, 0.00283, 0.35443
45, 0.11535, 0.21702, 80.00000, 4.05000, 0.88447, 0.16675, 0.00208, 1.19180, 0.16675, 0.00208, 0.48750
46, 0.13349, 0.25769, 27.00000, 3.55556, 0.93370, 0.08407, 0.00311, 1.27132, 0.08407, 0.00311, 0.40741
47, 0.16149, 0.29672, 133.00000, 3.60150, 1.07266, 0.32019, 0.00241, 1.42463, 0.32019, 0.00241, 0.43609
48, 0.11898, 0.23680, 117.00000, 4.09402, 0.97364, 0.25631, 0.00219, 1.21417, 0.25631, 0.00219, 0.35897
49, 0.14172, 0.26693, 81.00000, 3.32099, 0.89201, 0.21556, 0.00266, 1.28642, 0.21556, 0.00266, 0.43210
50, 0.09724, 0.20204, 583.00000, 4.35849, 0.88134, 0.81984, 0.00141, 1.07773, 0.81984, 0.00141, 0.43911
51, 0.18289, 0.33419, 81.00000, 3.45679, 1.16243, 0.21918, 0.00271, 1.48422, 0.21918, 0.00271, 0.41975
52, 0.12911, 0.23949, 91.00000, 3.76923, 0.90771, 0.22053, 0.00242, 1.27931, 0.22053, 0.00242, 0.46154
53, 0.25169, 0.44768, 128.00000, 2.95312, 1.32724, 0.30581, 0.00239, 1.57484, 0.30581, 0.00239, 0.43750
54, 0.13618, 0.25497, 104.00000, 3.24038, 0.83020, 0.27310, 0.00263, 1.22313, 0.27310, 0.00263, 0.44231
55, 0.14563, 0.27353, 149.00000, 3.70470, 1.01677, 0.32538, 0.00218, 1.36222, 0.32538, 0.00218, 0.39597
56, 0.14444, 0.28304, 394.00000, 4.06091, 1.15088, 0.67864, 0.00172, 1.30334, 0.67864, 0.00172, 0.42640
57, 0.14719, 0.28504, 40.00000, 4.00000, 1.15470, 0.09533, 0.00238, 1.33292, 0.09533, 0.00238, 0.42500
58, 0.11966, 0.22905, 175.00000, 3.64571, 0.83746, 0.40497, 0.00231, 1.20962, 0.40497, 0.00231, 0.44000
59, 0.12606, 0.24880, 83.00000, 4.06024, 1.01632, 0.17895, 0.00216, 1.25418, 0.17895, 0.00216, 0.42169
60, 0.13613, 0.26226, 64.00000, 4.01562, 1.06148, 0.14390, 0.00225, 1.27032, 0.14390, 0.00225, 0.50000
61, 0.13084, 0.24965, 59.00000, 3.86441, 0.97304, 0.14579, 0.00247, 1.28851, 0.14579, 0.00247, 0.45763
62, 0.17485, 0.32135, 127.00000, 3.14173, 1.01359, 0.30517, 0.00240, 1.40871, 0.30517, 0.00240, 0.40945
63, 0.16219, 0.30506, 82.00000, 3.09756, 0.95076, 0.20602, 0.00251, 1.33840, 0.20602, 0.00251, 0.39024
64, 0.08200, 0.17224, 283.00000, 4.44523, 0.76701, 0.53775, 0.00190, 0.98236, 0.53775, 0.00190, 0.41343
65, 0.14251, 0.26944, 115.00000, 3.53913, 0.95777, 0.28146, 0.00245, 1.31390, 0.28146, 0.00245, 0.40870
66, 0.14028, 0.26201, 162.00000, 3.54938, 0.93285, 0.35929, 0.00222, 1.31795, 0.35929, 0.00222, 0.41975
67, 0.21885, 0.39685, 103.00000, 3.04854, 1.21574, 0.25998, 0.00252, 1.49671, 0.25998, 0.00252, 0.39806
68, 0.17650, 0.32426, 134.00000, 3.41791, 1.11246, 0.32898, 0.00246, 1.45698, 0.32898, 0.00246, 0.41791
69, 0.14734, 0.27865, 321.00000, 3.85358, 1.07546, 0.61400, 0.00191, 1.36741, 0.61400, 0.00191, 0.43302
70, 0.12608, 0.24271, 251.00000, 3.66135, 0.89043, 0.50545, 0.00201, 1.25464, 0.50545, 0.00201, 0.41833
71, 0.13867, 0.25805, 220.00000, 3.78182, 0.97813, 0.46333, 0.00211, 1.31380, 0.46333, 0.00211, 0.45000
72, 0.16629, 0.30717, 129.00000, 3.19380, 0.98487, 0.32393, 0.00251, 1.37959, 0.32393, 0.00251, 0.43411
73, 0.13031, 0.24424, 128.00000, 3.46875, 0.85054, 0.31290, 0.00244, 1.24521, 0.31290, 0.00244, 0.35938
74, 0.24490, 0.43644, 7.00000, 3.00000, 1.41421, 0.02086, 0.00298, 1.54983, 0.02086, 0.00298, 0.57143
75, 0.21333, 0.42164, 5.00000, 3.00000, 1.41421, 0.01818, 0.00364, 0.95027, 0.01818, 0.00364, 0.00000
76, 0.12822, 0.24953, 54.00000, 3.40741, 0.85822, 0.15661, 0.00290, 1.20314, 0.15661, 0.00290, 0.38889
77, 0.15554, 0.28984, 151.00000, 3.27815, 0.95330, 0.35486, 0.00235, 1.35101, 0.35486, 0.00235, 0.39073
78, 0.24916, 0.44956, 33.00000, 2.45455, 1.12057, 0.10128, 0.00307, 1.45155, 0.10128, 0.00307, 0.21212
79, 0.10354, 0.19839, 336.00000, 4.04464, 0.80359, 0.62533, 0.00186, 1.15401, 0.62533, 0.00186, 0.43452
80, 0.19540, 0.35698, 68.00000, 2.76471, 0.99428, 0.19005, 0.00279, 1.39096, 0.19005, 0.00279, 0.44118
81, 0.17101, 0.31416, 110.00000, 3.55455, 1.12181, 0.28667, 0.00261, 1.45113, 0.28667, 0.00261, 0.37273
82, 0.14686, 0.27165, 261.00000, 3.72031, 1.01258, 0.53953, 0.00207, 1.37362, 0.53953, 0.00207, 0.45594
83, 0.11043, 0.21343, 176.00000, 4.06250, 0.86952, 0.34848, 0.00198, 1.19636, 0.34848, 0.00198, 0.40341
84, 0.18313, 0.33333, 18.00000, 3.00000, 1.02899, 0.04907, 0.00273, 1.39899, 0.04907, 0.00273, 0.38889
85, 0.18828, 0.34598, 58.00000, 3.03448, 1.05905, 0.15803, 0.00272, 1.43822, 0.15803, 0.00272, 0.34483
86, 0.12919, 0.24908, 150.00000, 3.94000, 0.98465, 0.30415, 0.00203, 1.28717, 0.30415, 0.00203, 0.43333
87, 0.12736, 0.24248, 138.00000, 3.90580, 0.95051, 0.31814, 0.00231, 1.27157, 0.31814, 0.00231, 0.42754
88, 0.15297, 0.28507, 213.00000, 3.53991, 1.01152, 0.45614, 0.00214, 1.37176, 0.45614, 0.00214, 0.43662
89, 0.11266, 0.21846, 275.00000, 4.13818, 0.90568, 0.54140, 0.00197, 1.20216, 0.54140, 0.00197, 0.46545
90, 0.19753, 0.35686, 95.00000, 3.05263, 1.09514, 0.24257, 0.00255, 1.47706, 0.24257, 0.00255, 0.41053
91, 0.16622, 0.30273, 143.00000, 3.58741, 1.08983, 0.33263, 0.00233, 1.44205, 0.33263, 0.00233, 0.40559
92, 0.14055, 0.27206, 104.00000, 3.61538, 0.98836, 0.25401, 0.00244, 1.29333, 0.25401, 0.00244, 0.44231
93, 0.14905, 0.28535, 112.00000, 3.72321, 1.06720, 0.21791, 0.00195, 1.35799, 0.21791, 0.00195, 0.39286
94, 0.18485, 0.33543, 137.00000, 3.08759, 1.03947, 0.31462, 0.00230, 1.43386, 0.31462, 0.00230, 0.40146
95, 0.12832, 0.23865, 219.00000, 3.81279, 0.91201, 0.46418, 0.00212, 1.28667, 0.46418, 0.00212, 0.48402
96, 0.12647, 0.24314, 295.00000, 4.00678, 0.97588, 0.57046, 0.00193, 1.27453, 0.57046, 0.00193, 0.42712
97, 0.14884, 0.27475, 256.00000, 3.79297, 1.04418, 0.51977, 0.00203, 1.38132, 0.51977, 0.00203, 0.41797
98, 0.09493, 0.19477, 390.00000, 4.28974, 0.83660, 0.66995, 0.00172, 1.07635, 0.66995, 0.00172, 0.44103
99, 0.13062, 0.24101, 172.00000, 3.70930, 0.89660, 0.38936, 0.00226, 1.27791, 0.38936, 0.00226, 0.41279
100, 0.11875, 0.23458, 508.00000, 4.15551, 0.97576, 0.72177, 0.00142, 1.21793, 0.72177, 0.00142, 0.45276
101, 0.20283, 0.36266, 73.00000, 3.26027, 1.19056, 0.18608, 0.00255, 1.52865, 0.18608, 0.00255, 0.45205
102, 0.19253, 0.34811, 54.00000, 3.12963, 1.09968, 0.13219, 0.00245, 1.47163, 0.13219, 0.00245, 0.37037
103, 0.25238, 0.47380, 15.00000, 1.86667, 0.91548, 0.03655, 0.00244, 1.04376, 0.03655, 0.00244, 0.13333
104, 0.22857, 0.57143, 5.00000, 1.40000, 0.89443, 0.01668, 0.00334, 0.50040, 0.01668, 0.00334, 0.20000
105, 0.20413, 0.37380, 74.00000, 2.56757, 0.96630, 0.15643, 0.00211, 1.35580, 0.15643, 0.00211, 0.48649
106, 0.18908, 0.34658, 71.00000, 2.88732, 1.00782, 0.13963, 0.00197, 1.36257, 0.13963, 0.00197, 0.35211
107, 0.16991, 0.31944, 42.00000, 3.50000, 1.13159, 0.08130, 0.00194, 1.36271, 0.08130, 0.00194, 0.45238
108, 0.19108, 0.34821, 65.00000, 3.07692, 1.07975, 0.13367, 0.00206, 1.45627, 0.13367, 0.00206, 0.43077
109, 0.17299, 0.31712, 130.00000, 3.43077, 1.09217, 0.24523, 0.00189, 1.45270, 0.24523, 0.00189, 0.40000
110, 0.24318, 0.43853, 31.00000, 2.51613, 1.12163, 0.08247, 0.00266, 1.45560, 0.08247, 0.00266, 0.35484
111, 0.14312, 0.27394, 272.00000, 3.48529, 0.95651, 0.44374, 0.00163, 1.30450, 0.44374, 0.00163, 0.44485
112, 0.27245, 0.49107, 20.00000, 2.45000, 1.23438, 0.04516, 0.00226, 1.47863, 0.04516, 0.00226, 0.30000
113, 0.09610, 0.17928, 9.00000, 4.11111, 0.78174, 0.02251, 0.00250, 1.06086, 0.02251, 0.00250, 0.44444
114, 0.08014, 0.17058, 67.00000, 4.44776, 0.76443, 0.11931, 0.00178, 0.94511, 0.11931, 0.00178, 0.37313
115, 0.17143, 0.31643, 15.00000, 3.73333, 1.22280, 0.03159, 0.00211, 1.43221, 0.03159, 0.00211, 0.13333
116, 0.14581, 0.27490, 125.00000, 3.82400, 1.05543, 0.21368, 0.00171, 1.36510, 0.21368, 0.00171, 0.39200
