uid, gini, variation, num_ratings, rating_avg, rating_std, phi, avg_phi, entropy, entropy_of_consumed_sum, entropy_of_consumed_avg, proportion_long_tailors
1, 0.19101, 0.34935, 272.00000, 3.61029, 1.26358, 0.41834, 0.00154, 1.50104, 359.30163, 1.32096, 0.57353
2, 0.14264, 0.27553, 62.00000, 3.70968, 1.03047, 0.12485, 0.00201, 1.28775, 80.42470, 1.29717, 0.45161
3, 0.24050, 0.43189, 54.00000, 2.79630, 1.21903, 0.08255, 0.00153, 1.54189, 75.71248, 1.40208, 0.46296
4, 0.10337, 0.20712, 24.00000, 4.33333, 0.91683, 0.05138, 0.00214, 1.07226, 33.06448, 1.37769, 0.45833
5, 0.26527, 0.47284, 175.00000, 2.87429, 1.36296, 0.24291, 0.00139, 1.55893, 229.80108, 1.31315, 0.54286
6, 0.15283, 0.28527, 211.00000, 3.63507, 1.03946, 0.36368, 0.00172, 1.37968, 267.00213, 1.26541, 0.55924
7, 0.14228, 0.26812, 403.00000, 3.96526, 1.06448, 0.53006, 0.00132, 1.32146, 521.20157, 1.29330, 0.57568
8, 0.17237, 0.32451, 59.00000, 3.79661, 1.24263, 0.13085, 0.00222, 1.42504, 77.62688, 1.31571, 0.55932
9, 0.09768, 0.21383, 22.00000, 4.27273, 0.93513, 0.04432, 0.00201, 0.99778, 29.15546, 1.32525, 0.36364
10, 0.06817, 0.13816, 184.00000, 4.20652, 0.58278, 0.29772, 0.00162, 0.86878, 231.58695, 1.25862, 0.54891
11, 0.14462, 0.26887, 181.00000, 3.46409, 0.93398, 0.27869, 0.00154, 1.32753, 241.22886, 1.33276, 0.59669
12, 0.08211, 0.17508, 51.00000, 4.39216, 0.77662, 0.12028, 0.00236, 0.95258, 65.74120, 1.28904, 0.64706
13, 0.25748, 0.45692, 636.00000, 3.09748, 1.41641, 0.70635, 0.00111, 1.59078, 820.78008, 1.29053, 0.55031
14, 0.12965, 0.25197, 98.00000, 4.09184, 1.03632, 0.20404, 0.00208, 1.27273, 125.78585, 1.28353, 0.59184
15, 0.26109, 0.46438, 104.00000, 2.87500, 1.34155, 0.18327, 0.00176, 1.56830, 140.18762, 1.34796, 0.48077
16, 0.11207, 0.23984, 140.00000, 4.32857, 1.04188, 0.27110, 0.00194, 1.10515, 180.19011, 1.28707, 0.55000
17, 0.19958, 0.36811, 28.00000, 3.03571, 1.13797, 0.07537, 0.00269, 1.39996, 38.20250, 1.36437, 0.42857
18, 0.11886, 0.21844, 277.00000, 3.88087, 0.84927, 0.40379, 0.00146, 1.17471, 353.33878, 1.27559, 0.51625
19, 0.12042, 0.22667, 20.00000, 3.55000, 0.82558, 0.04881, 0.00244, 1.18728, 26.93547, 1.34677, 0.55000
20, 0.20176, 0.36754, 48.00000, 3.10417, 1.15297, 0.12188, 0.00254, 1.47747, 63.49378, 1.32279, 0.45833
21, 0.27732, 0.49563, 179.00000, 2.67039, 1.32723, 0.19851, 0.00111, 1.57103, 236.43342, 1.32086, 0.50838
22, 0.24160, 0.44379, 128.00000, 3.35156, 1.49324, 0.21279, 0.00166, 1.44017, 169.76303, 1.32627, 0.53125
23, 0.14010, 0.26195, 151.00000, 3.63576, 0.95557, 0.28452, 0.00188, 1.33283, 198.32444, 1.31341, 0.52318
24, 0.09674, 0.18791, 68.00000, 4.32353, 0.81847, 0.16113, 0.00237, 1.06113, 89.01327, 1.30902, 0.57353
25, 0.07327, 0.15256, 78.00000, 4.05128, 0.62205, 0.16450, 0.00211, 0.92196, 97.20052, 1.24616, 0.55128
26, 0.15030, 0.28939, 107.00000, 2.94393, 0.85596, 0.22031, 0.00206, 1.24224, 146.08396, 1.36527, 0.44860
27, 0.14321, 0.26593, 25.00000, 3.24000, 0.87939, 0.05321, 0.00213, 1.24161, 34.12963, 1.36519, 0.60000
28, 0.13829, 0.25630, 79.00000, 3.72152, 0.95992, 0.16298, 0.00206, 1.33021, 104.63817, 1.32453, 0.54430
29, 0.12287, 0.23869, 34.00000, 3.64706, 0.88360, 0.06606, 0.00194, 1.16497, 44.89265, 1.32037, 0.52941
30, 0.13896, 0.26131, 43.00000, 3.76744, 0.99612, 0.09452, 0.00220, 1.33584, 57.63457, 1.34034, 0.55814
31, 0.13061, 0.24352, 36.00000, 3.91667, 0.96732, 0.04811, 0.00134, 1.26982, 46.69052, 1.29696, 0.44444
32, 0.14455, 0.26996, 41.00000, 3.31707, 0.90662, 0.10340, 0.00252, 1.29824, 55.58737, 1.35579, 0.41463
33, 0.07069, 0.14520, 24.00000, 3.70833, 0.55003, 0.05004, 0.00208, 0.79238, 33.96069, 1.41503, 0.50000
34, 0.16235, 0.33561, 20.00000, 4.05000, 1.39454, 0.03242, 0.00162, 1.13590, 28.80801, 1.44040, 0.45000
35, 0.17067, 0.31269, 25.00000, 3.00000, 0.95743, 0.04029, 0.00161, 1.33817, 35.87871, 1.43515, 0.56000
36, 0.17763, 0.32868, 20.00000, 3.80000, 1.28145, 0.02939, 0.00147, 1.43201, 28.45207, 1.42260, 0.40000
