uid, num_ratings, log_num_ratings, gini, rating_avg, rating_std, phi_avg, phi_std, proportion_long_tailors, avg_entropy, abnormality, abnormality_CR, itens_avg_num_ratings, avg_rating_from_itens_consumed
1, 272.00000, 8.08746, 0.19101, 3.61029, 1.26358, 0.16310, 0.11496, 0.18382, 1.32096, 0.83427, 0.11857, 153.80147, 3.52406
2, 62.00000, 5.95420, 0.14264, 3.70968, 1.03047, 0.21354, 0.15528, 0.11290, 1.29717, 0.61684, 0.37509, 201.37097, 3.59961
3, 54.00000, 5.75489, 0.24050, 2.79630, 1.21903, 0.16211, 0.14193, 0.31481, 1.40208, 1.02333, 0.27820, 152.87037, 3.28280
4, 24.00000, 4.58496, 0.10337, 4.33333, 0.91683, 0.22702, 0.18458, 0.20833, 1.37769, 1.14623, 0.37002, 214.08333, 3.40733
5, 175.00000, 7.45121, 0.26527, 2.87429, 1.36296, 0.14720, 0.12155, 0.28571, 1.31315, 0.97437, 0.82883, 138.80571, 3.23607
6, 211.00000, 7.72110, 0.15283, 3.63507, 1.03946, 0.18278, 0.11625, 0.13270, 1.26541, 0.68516, 0.20717, 172.36019, 3.83628
7, 403.00000, 8.65464, 0.14228, 3.96526, 1.06448, 0.13948, 0.11126, 0.27543, 1.29330, 0.88376, 0.00000, 131.52854, 3.50352
8, 59.00000, 5.88264, 0.17237, 3.79661, 1.24263, 0.23519, 0.13633, 0.08475, 1.31571, 0.78440, 0.10238, 221.77966, 3.55889
9, 22.00000, 4.45943, 0.09768, 4.27273, 0.93513, 0.21363, 0.16589, 0.13636, 1.32525, 0.85322, 0.58171, 201.45455, 3.76322
10, 184.00000, 7.52356, 0.06817, 4.20652, 0.58278, 0.17158, 0.11380, 0.15217, 1.25862, 0.53240, 0.00000, 161.80435, 3.81367
11, 181.00000, 7.49985, 0.14462, 3.46409, 0.93398, 0.16328, 0.11350, 0.20442, 1.33276, 0.67871, 0.25268, 153.97238, 3.51742
12, 51.00000, 5.67243, 0.08211, 4.39216, 0.77662, 0.25010, 0.11502, 0.03922, 1.28904, 0.80598, 0.22036, 235.84314, 3.82268
13, 636.00000, 9.31288, 0.25748, 3.09748, 1.41641, 0.11777, 0.10615, 0.40252, 1.29053, 0.97327, 0.00000, 111.06132, 3.32351
14, 98.00000, 6.61471, 0.12965, 4.09184, 1.03632, 0.22079, 0.13059, 0.09184, 1.28353, 0.84888, 0.29585, 208.20408, 3.83261
15, 104.00000, 6.70044, 0.26109, 2.87500, 1.34155, 0.18687, 0.13645, 0.19231, 1.34796, 1.06662, 0.50475, 176.22115, 3.38315
16, 140.00000, 7.12928, 0.11207, 4.32857, 1.04188, 0.20535, 0.11977, 0.13571, 1.28707, 0.95682, 0.34767, 193.64286, 3.70441
17, 28.00000, 4.80735, 0.19958, 3.03571, 1.13797, 0.28545, 0.13440, 0.00000, 1.36437, 0.83299, 0.28587, 269.17857, 3.60433
18, 277.00000, 8.11374, 0.11886, 3.88087, 0.84927, 0.15458, 0.10939, 0.20217, 1.27559, 0.63966, 0.11811, 145.77256, 3.78163
19, 20.00000, 4.32193, 0.12042, 3.55000, 0.82558, 0.25880, 0.13702, 0.00000, 1.34677, 0.71982, 0.19395, 244.05000, 3.64889
20, 48.00000, 5.58496, 0.20176, 3.10417, 1.15297, 0.26926, 0.12693, 0.02083, 1.32279, 1.08122, 0.61820, 253.91667, 3.62956
