iid, gini, variation, num_ratings, rating_avg, rating_std, phi, avg_phi, entropy, entropy_of_consumed_sum, entropy_of_consumed_avg, proportion_long_tailors
1, 0.10711, 0.20549, 2077.00000, 4.14685, 0.85235, 0.57609, 0.00028, 1.17254, 0.57609, 0.00028, 0.45932
2, 0.16543, 0.30691, 701.00000, 3.20114, 0.98317, 0.28759, 0.00041, 1.37475, 0.28759, 0.00041, 0.45221
3, 0.19406, 0.35488, 478.00000, 3.01674, 1.07171, 0.18926, 0.00040, 1.45684, 0.18926, 0.00040, 0.54812
4, 0.20246, 0.37019, 170.00000, 2.72941, 1.01338, 0.08553, 0.00050, 1.40973, 0.08553, 0.00050, 0.37647
5, 0.18498, 0.34035, 296.00000, 3.00676, 1.02509, 0.13733, 0.00046, 1.41140, 0.13733, 0.00046, 0.43919
6, 0.12839, 0.24082, 940.00000, 3.87872, 0.93459, 0.34056, 0.00036, 1.29266, 0.34056, 0.00036, 0.45638
7, 0.15444, 0.28701, 458.00000, 3.41048, 0.97992, 0.20029, 0.00044, 1.36783, 0.20029, 0.00044, 0.44760
8, 0.16994, 0.31413, 68.00000, 3.01471, 0.95406, 0.02843, 0.00042, 1.35495, 0.02843, 0.00042, 0.52941
9, 0.21753, 0.39262, 102.00000, 2.65686, 1.04829, 0.05402, 0.00053, 1.42118, 0.05402, 0.00053, 0.50980
10, 0.13401, 0.25158, 888.00000, 3.54054, 0.89123, 0.33896, 0.00038, 1.28548, 0.33896, 0.00038, 0.44932
11, 0.11993, 0.22773, 1033.00000, 3.79380, 0.86439, 0.36263, 0.00035, 1.23997, 0.36263, 0.00035, 0.45595
12, 0.28099, 0.50857, 160.00000, 2.36250, 1.20527, 0.08801, 0.00055, 1.47738, 0.08801, 0.00055, 0.45625
13, 0.17350, 0.32186, 99.00000, 3.26263, 1.05546, 0.04526, 0.00046, 1.41196, 0.04526, 0.00046, 0.48485
14, 0.12944, 0.24577, 153.00000, 3.54248, 0.87349, 0.08306, 0.00054, 1.25792, 0.08306, 0.00054, 0.43137
15, 0.27495, 0.49495, 146.00000, 2.45890, 1.22123, 0.07840, 0.00054, 1.47735, 0.07840, 0.00054, 0.45890
16, 0.12828, 0.23843, 682.00000, 3.79326, 0.90508, 0.28119, 0.00041, 1.28310, 0.28119, 0.00041, 0.48680
17, 0.11752, 0.22445, 835.00000, 4.02754, 0.90454, 0.26398, 0.00032, 1.23422, 0.26398, 0.00032, 0.43832
18, 0.16429, 0.30351, 157.00000, 3.33758, 1.01624, 0.09280, 0.00059, 1.40279, 0.09280, 0.00059, 0.46497
19, 0.26263, 0.47455, 389.00000, 2.48072, 1.17875, 0.17317, 0.00045, 1.49688, 0.17317, 0.00045, 0.46530
20, 0.19172, 0.35492, 160.00000, 2.53750, 0.90344, 0.09144, 0.00057, 1.26554, 0.09144, 0.00057, 0.52500
21, 0.13871, 0.25787, 1356.00000, 3.62389, 0.93485, 0.45429, 0.00034, 1.32494, 0.45429, 0.00034, 0.44912
22, 0.15662, 0.29134, 378.00000, 3.34921, 0.97706, 0.18801, 0.00050, 1.36864, 0.18801, 0.00050, 0.42063
23, 0.18981, 0.34921, 126.00000, 2.85714, 1.00171, 0.07412, 0.00059, 1.38711, 0.07412, 0.00059, 0.46032
24, 0.18401, 0.33547, 624.00000, 3.17949, 1.06747, 0.21314, 0.00034, 1.45529, 0.21314, 0.00034, 0.48718
25, 0.16128, 0.29935, 980.00000, 3.65102, 1.09351, 0.33494, 0.00034, 1.42288, 0.33494, 0.00034, 0.43878
26, 0.13918, 0.26712, 100.00000, 3.53000, 0.94767, 0.05521, 0.00055, 1.29701, 0.05521, 0.00055, 0.45000
27, 0.17840, 0.33154, 61.00000, 2.93443, 0.98097, 0.03722, 0.00061, 1.37285, 0.03722, 0.00061, 0.42623
28, 0.11281, 0.21447, 179.00000, 4.05587, 0.87230, 0.06608, 0.00037, 1.20513, 0.06608, 0.00037, 0.43575
29, 0.12802, 0.24510, 403.00000, 4.06203, 0.99682, 0.14982, 0.00037, 1.27786, 0.14982, 0.00037, 0.43176
30, 0.14945, 0.27567, 74.00000, 3.64865, 1.01269, 0.03179, 0.00043, 1.34870, 0.03179, 0.00043, 0.44595
31, 0.16239, 0.30862, 141.00000, 3.11348, 0.96431, 0.08196, 0.00058, 1.33083, 0.08196, 0.00058, 0.36170
32, 0.13021, 0.24426, 1511.00000, 3.94573, 0.96411, 0.48451, 0.00032, 1.29998, 0.48451, 0.00032, 0.44341
33, 0.12500, 0.23570, 4.00000, 3.00000, 0.81650, 0.00266, 0.00067, 1.03972, 0.00266, 0.00067, 1.00000
34, 0.14125, 0.26665, 1751.00000, 3.89149, 1.03796, 0.49513, 0.00028, 1.34665, 0.49513, 0.00028, 0.44146
35, 0.14741, 0.27247, 70.00000, 3.31429, 0.90958, 0.03832, 0.00055, 1.30806, 0.03832, 0.00055, 0.31429
36, 0.11671, 0.21902, 928.00000, 3.95797, 0.86734, 0.31209, 0.00034, 1.22887, 0.31209, 0.00034, 0.46767
37, 0.20536, 0.37796, 8.00000, 3.50000, 1.41421, 0.00306, 0.00038, 1.49418, 0.00306, 0.00038, 0.62500
38, 0.28797, 0.51058, 28.00000, 2.82143, 1.46701, 0.01502, 0.00054, 1.59958, 0.01502, 0.00054, 0.46429
39, 0.14102, 0.26585, 1362.00000, 3.62335, 0.96362, 0.46187, 0.00034, 1.33344, 0.46187, 0.00034, 0.45521
40, 0.10904, 0.21706, 30.00000, 3.93333, 0.86834, 0.01400, 0.00047, 1.12194, 0.01400, 0.00047, 0.50000
41, 0.10717, 0.21146, 242.00000, 3.95868, 0.83886, 0.10512, 0.00043, 1.17023, 0.10512, 0.00043, 0.37190
42, 0.19386, 0.35498, 221.00000, 2.86878, 1.02068, 0.10800, 0.00049, 1.41954, 0.10800, 0.00049, 0.48416
43, 0.14468, 0.26937, 166.00000, 3.44578, 0.93099, 0.07159, 0.00043, 1.32797, 0.07159, 0.00043, 0.43373
44, 0.20708, 0.37616, 311.00000, 2.78778, 1.05034, 0.15342, 0.00049, 1.43734, 0.15342, 0.00049, 0.50161
45, 0.16002, 0.29278, 544.00000, 3.42463, 1.00359, 0.24651, 0.00045, 1.39638, 0.24651, 0.00045, 0.44118
46, 0.16681, 0.31191, 166.00000, 3.10843, 0.97250, 0.08057, 0.00049, 1.36217, 0.08057, 0.00049, 0.43976
47, 0.11792, 0.22862, 1137.00000, 4.10642, 0.93923, 0.40390, 0.00036, 1.22992, 0.40390, 0.00036, 0.48989
