uid, gini, variation, num_ratings, rating_avg, rating_std, phi, avg_phi, entropy, entropy_of_consumed_sum, entropy_of_consumed_avg, proportion_long_tailors
1, 0.20636, 0.15874, 0.01439, 0.80386, 0.32057, 0.06501, 0.55172, 0.59986, 0.01436, 0.46467, 0.37736
2, 0.37479, 0.29767, 0.04752, 0.68341, 0.50508, 0.14929, 0.47701, 0.83428, 0.04695, 0.52851, 0.47880
3, 0.33427, 0.27351, 0.01351, 0.73123, 0.49557, 0.07699, 0.68966, 0.80262, 0.01416, 0.56985, 0.72665
4, 0.30287, 0.27490, 0.00044, 0.80432, 0.54906, 0.03592, 0.87931, 0.70469, 0.00076, 0.34726, 0.58824
5, 0.51322, 0.41437, 0.07759, 0.53984, 0.58059, 0.17140, 0.32759, 0.92886, 0.07882, 0.64339, 0.51693
6, 0.27742, 0.22379, 0.02223, 0.73109, 0.40679, 0.06419, 0.37931, 0.71473, 0.02371, 0.68955, 0.38112
7, 0.21958, 0.17055, 0.00480, 0.83778, 0.35902, 0.05331, 0.83333, 0.61127, 0.00540, 0.51645, 0.37952
8, 0.32885, 0.25722, 0.05187, 0.72690, 0.46122, 0.13141, 0.37356, 0.76022, 0.05326, 0.65725, 0.55438
9, 0.29056, 0.23286, 0.03749, 0.68915, 0.40061, 0.13806, 0.55172, 0.72868, 0.03659, 0.47861, 0.44396
10, 0.27249, 0.21335, 0.16609, 0.78512, 0.41081, 0.39397, 0.37931, 0.71246, 0.16785, 0.65085, 0.49876
11, 0.59340, 0.48019, 0.05100, 0.57301, 0.70504, 0.14475, 0.43103, 0.97049, 0.05308, 0.70097, 0.55819
12, 0.39145, 0.31845, 0.00131, 0.71201, 0.56985, 0.02307, 0.52299, 0.83344, 0.00142, 0.29297, 0.33249
13, 0.29917, 0.25237, 0.03836, 0.60126, 0.38635, 0.14230, 0.56322, 0.68968, 0.03938, 0.63415, 0.55556
14, 0.60107, 0.48644, 0.00218, 0.58381, 0.73787, 0.03161, 0.63793, 0.97480, 0.00304, 0.57665, 0.25883
15, 0.32727, 0.27033, 0.07890, 0.58466, 0.40322, 0.22570, 0.45402, 0.70781, 0.08142, 0.69871, 0.55313
16, 0.59222, 0.47520, 0.00654, 0.50998, 0.64707, 0.01976, 0.26437, 0.97036, 0.00829, 0.81293, 0.57143
17, 0.26098, 0.20772, 0.08326, 0.77527, 0.39654, 0.22884, 0.43103, 0.70362, 0.08461, 0.64806, 0.37357
18, 0.51837, 0.43165, 0.12424, 0.66719, 0.71225, 0.28502, 0.35632, 0.90918, 0.12776, 0.70542, 0.51109
19, 0.42486, 0.34172, 0.10244, 0.64778, 0.55250, 0.28295, 0.44253, 0.89159, 0.10515, 0.69148, 0.51903
20, 0.26120, 0.20763, 0.00174, 0.77717, 0.40618, 0.03636, 0.76437, 0.70399, 0.00279, 0.64192, 0.58824
21, 0.66637, 0.56261, 0.00087, 0.47971, 0.74087, 0.01557, 0.39080, 0.76020, 0.00217, 0.73867, 0.29412
22, 0.46264, 0.37708, 0.12075, 0.51980, 0.51256, 0.30809, 0.40805, 0.84750, 0.12657, 0.77371, 0.54070
23, 0.43371, 0.34882, 0.12380, 0.58274, 0.51799, 0.31600, 0.40805, 0.87699, 0.12463, 0.62939, 0.40442
24, 0.24771, 0.22068, 0.05057, 0.74302, 0.40542, 0.18079, 0.55747, 0.65882, 0.05040, 0.55958, 0.46281
25, 0.41250, 0.32940, 0.02833, 0.69050, 0.56384, 0.11283, 0.57471, 0.87626, 0.03058, 0.75755, 0.38754
26, 0.48471, 0.40056, 0.16565, 0.49261, 0.52291, 0.31197, 0.28161, 0.87231, 0.17317, 0.77440, 0.46177
27, 0.34991, 0.31313, 0.02180, 0.79949, 0.60734, 0.07408, 0.45402, 0.74502, 0.01939, 0.21304, 0.44537
28, 0.30566, 0.24361, 0.03793, 0.69451, 0.42136, 0.14626, 0.58621, 0.75192, 0.03613, 0.40794, 0.46729
29, 0.41258, 0.32780, 0.03836, 0.65051, 0.53371, 0.13581, 0.53448, 0.84461, 0.03722, 0.46237, 0.55556
30, 0.36988, 0.29292, 0.01003, 0.62646, 0.46699, 0.05461, 0.58621, 0.80134, 0.00974, 0.37159, 0.43777
31, 0.37873, 0.30316, 0.04316, 0.68794, 0.51722, 0.10090, 0.33333, 0.83593, 0.04288, 0.54079, 0.43500
32, 0.37179, 0.30416, 0.01221, 0.66107, 0.50574, 0.05950, 0.56322, 0.83170, 0.01215, 0.44114, 0.51471
33, 0.41220, 0.32854, 0.16173, 0.62908, 0.51860, 0.36057, 0.35057, 0.87087, 0.15762, 0.52222, 0.42727
34, 0.36846, 0.30170, 0.06277, 0.72208, 0.53524, 0.16285, 0.39655, 0.83866, 0.06472, 0.68293, 0.41248
35, 0.40287, 0.33271, 0.07759, 0.63964, 0.53296, 0.15364, 0.28736, 0.85665, 0.07511, 0.48245, 0.49911
36, 0.22644, 0.18752, 0.14429, 0.80658, 0.37238, 0.39494, 0.44828, 0.64589, 0.14466, 0.61897, 0.45249
37, 0.53368, 0.45638, 0.01439, 0.67959, 0.77022, 0.05707, 0.47701, 0.86151, 0.01576, 0.69079, 0.41066
38, 0.30118, 0.24460, 0.03487, 0.64967, 0.39986, 0.07898, 0.31034, 0.73496, 0.03745, 0.76791, 0.52353
39, 0.49957, 0.39969, 0.01831, 0.64575, 0.64784, 0.07647, 0.54598, 0.92847, 0.02016, 0.74817, 0.43644
40, 0.46235, 0.37246, 0.03313, 0.61621, 0.58020, 0.08394, 0.35057, 0.91745, 0.03372, 0.59610, 0.44117
41, 0.63419, 0.52663, 0.00218, 0.62434, 0.84053, 0.02716, 0.55172, 0.91484, 0.00344, 0.71317, 0.18824
42, 0.26828, 0.21413, 0.09198, 0.69027, 0.36864, 0.27839, 0.48851, 0.68907, 0.09383, 0.66545, 0.45072
43, 0.27530, 0.24096, 0.00174, 0.78773, 0.47368, 0.03057, 0.64943, 0.67971, 0.00280, 0.64508, 0.73530
44, 0.45433, 0.37345, 0.07541, 0.66287, 0.61481, 0.22053, 0.46552, 0.90359, 0.07719, 0.66846, 0.41756
45, 0.54259, 0.43932, 0.12075, 0.48910, 0.57140, 0.19628, 0.22414, 0.92831, 0.12431, 0.70817, 0.45751
46, 0.37997, 0.43579, 0.00915, 0.81167, 0.85237, 0.01039, 0.09770, 0.27109, 0.01093, 0.79115, 0.18651
47, 0.23301, 0.19289, 0.00087, 0.73303, 0.36041, 0.02824, 0.66667, 0.64930, 0.00078, 0.19737, 0.45455
48, 0.35117, 0.29412, 0.25196, 0.52011, 0.39869, 0.53815, 0.33333, 0.73790, 0.25785, 0.70485, 0.45053
49, 0.31317, 0.25027, 0.03836, 0.68335, 0.42663, 0.13512, 0.52874, 0.76447, 0.03892, 0.59774, 0.39217
50, 0.37380, 0.31806, 0.01003, 0.52042, 0.43720, 0.02806, 0.28736, 0.74828, 0.01185, 0.79414, 0.39672
51, 0.32207, 0.26096, 0.00872, 0.71173, 0.46426, 0.04139, 0.47701, 0.77202, 0.01017, 0.72499, 0.55883
52, 0.42333, 0.34985, 0.02572, 0.64383, 0.56549, 0.08486, 0.45402, 0.87039, 0.02805, 0.77623, 0.55101
53, 0.28429, 0.23897, 0.28945, 0.81606, 0.47330, 0.52451, 0.27011, 0.71377, 0.29736, 0.72143, 0.38700
54, 0.23347, 0.19392, 0.00872, 0.76240, 0.37040, 0.03788, 0.43678, 0.65140, 0.00874, 0.41844, 0.38236
55, 0.26814, 0.20648, 0.00218, 0.78646, 0.40789, 0.03700, 0.74138, 0.65996, 0.00207, 0.24342, 0.61177
56, 0.38008, 0.32336, 0.02049, 0.74850, 0.59303, 0.09457, 0.62644, 0.82488, 0.02009, 0.45187, 0.51801
57, 0.69844, 0.58250, 0.01918, 0.47899, 0.75366, 0.05655, 0.37356, 0.88066, 0.02055, 0.68089, 0.43198
58, 0.32894, 0.27081, 0.18178, 0.74911, 0.49601, 0.45894, 0.40805, 0.79591, 0.18239, 0.62689, 0.44959
59, 0.30845, 0.25965, 0.08413, 0.62286, 0.40809, 0.19171, 0.34483, 0.71906, 0.07970, 0.41483, 0.41426
60, 0.56787, 0.45603, 0.02180, 0.60769, 0.70330, 0.06408, 0.38506, 0.96280, 0.02391, 0.76805, 0.42017
61, 0.50662, 0.42967, 0.00697, 0.44645, 0.53012, 0.01700, 0.21839, 0.75084, 0.00902, 0.87651, 0.49020
62, 0.32172, 0.25704, 0.20837, 0.64619, 0.41598, 0.38961, 0.28161, 0.76048, 0.20527, 0.56385, 0.46775
63, 0.52588, 0.41974, 0.03400, 0.61131, 0.64914, 0.09365, 0.39080, 0.94842, 0.03673, 0.78424, 0.52821
64, 0.25739, 0.21469, 0.00305, 0.79359, 0.42591, 0.03684, 0.67816, 0.67161, 0.00423, 0.68201, 0.58824
65, 0.22357, 0.19144, 0.04403, 0.84399, 0.39688, 0.16131, 0.56322, 0.63179, 0.04520, 0.64540, 0.50559
66, 0.49230, 0.42267, 0.00262, 0.71709, 0.75382, 0.03311, 0.63793, 0.80158, 0.00374, 0.66755, 0.76923
67, 0.23229, 0.19237, 0.01918, 0.83127, 0.39499, 0.05372, 0.35057, 0.64436, 0.01831, 0.37991, 0.48714
68, 0.45994, 0.38683, 0.02267, 0.69273, 0.66276, 0.08230, 0.49425, 0.88259, 0.02283, 0.53178, 0.49020
69, 0.31322, 0.27441, 0.01962, 0.79504, 0.53257, 0.05591, 0.36207, 0.73405, 0.01992, 0.53855, 0.47059
70, 0.45597, 0.37310, 0.01482, 0.68100, 0.63250, 0.06761, 0.55747, 0.90702, 0.01626, 0.70054, 0.42483
71, 0.25050, 0.20040, 0.00392, 0.69492, 0.35424, 0.03161, 0.53448, 0.66383, 0.00536, 0.75514, 0.62881
72, 0.42395, 0.35303, 0.01003, 0.67948, 0.59957, 0.05656, 0.60920, 0.84406, 0.01073, 0.57008, 0.64295
73, 0.43784, 0.35364, 0.10244, 0.59513, 0.53412, 0.26608, 0.40805, 0.88784, 0.10843, 0.80203, 0.47059
74, 0.35634, 0.29453, 0.01003, 0.76785, 0.55605, 0.04471, 0.47701, 0.79630, 0.00968, 0.36031, 0.56087
75, 0.33003, 0.27858, 0.06757, 0.75751, 0.51566, 0.11271, 0.22414, 0.78571, 0.07228, 0.81600, 0.42017
76, 0.26331, 0.21708, 0.02921, 0.79974, 0.42676, 0.09458, 0.45977, 0.68904, 0.02841, 0.45471, 0.50710
77, 0.58702, 0.47493, 0.00828, 0.48975, 0.62672, 0.03695, 0.43678, 0.95588, 0.01019, 0.82799, 0.45249
78, 0.34586, 0.27702, 0.05231, 0.66921, 0.46240, 0.10783, 0.29310, 0.80834, 0.05353, 0.64654, 0.57143
79, 0.42473, 0.34855, 0.00480, 0.66618, 0.58571, 0.02102, 0.33333, 0.83181, 0.00593, 0.66324, 0.26566
80, 0.32341, 0.25514, 0.01221, 0.72967, 0.46279, 0.06623, 0.63218, 0.78000, 0.01356, 0.69305, 0.58824
81, 0.25315, 0.25455, 0.02877, 0.86210, 0.53046, 0.08532, 0.41379, 0.59901, 0.02612, 0.26695, 0.35567
82, 0.26313, 0.20529, 0.04272, 0.76036, 0.38627, 0.14880, 0.52874, 0.70136, 0.04389, 0.64520, 0.50349
83, 0.54419, 0.44324, 0.03444, 0.64859, 0.71770, 0.10595, 0.44253, 0.94276, 0.03725, 0.78934, 0.55258
84, 0.49976, 0.43475, 0.00480, 0.71521, 0.77059, 0.06121, 0.95402, 0.83460, 0.00495, 0.39216, 0.72107
85, 0.59104, 0.47369, 0.00828, 0.52872, 0.66140, 0.03155, 0.37356, 0.97236, 0.01014, 0.81775, 0.67874
86, 0.24170, 0.21122, 0.01221, 0.83523, 0.43455, 0.05027, 0.47126, 0.65681, 0.01376, 0.72826, 0.66176
87, 0.90729, 0.79753, 0.01700, 0.45551, 1.00000, 0.07056, 0.52874, 0.68132, 0.01698, 0.48200, 0.39880
88, 0.32110, 0.28107, 0.02092, 0.79332, 0.54378, 0.08759, 0.56322, 0.75373, 0.01909, 0.27355, 0.44984
89, 0.71311, 0.61225, 0.00044, 0.56306, 0.90721, 0.02017, 0.51724, 0.75669, 0.00118, 0.51952, 0.67228
90, 0.32953, 0.26686, 0.08936, 0.63222, 0.42445, 0.21197, 0.36207, 0.75830, 0.09279, 0.72645, 0.47843
