uid, gini, variation, num_ratings, rating_avg, rating_std, phi, avg_phi, entropy, entropy_of_consumed_sum, entropy_of_consumed_avg, proportion_long_tailors
1, 0.08414, 0.16103, 53.00000, 4.18868, 0.68097, 0.06019, 0.00114, 0.99577, 66.03435, 1.24593, 0.54717
2, 0.14695, 0.26867, 129.00000, 3.71318, 1.00151, 0.13062, 0.00101, 1.35384, 163.59458, 1.26818, 0.60465
3, 0.13184, 0.24995, 51.00000, 3.90196, 0.98499, 0.07020, 0.00138, 1.30547, 65.41225, 1.28259, 0.74510
4, 0.12013, 0.25103, 21.00000, 4.19048, 1.07792, 0.03588, 0.00171, 1.15589, 25.30523, 1.20501, 0.66667
5, 0.19857, 0.35908, 198.00000, 3.14646, 1.13270, 0.14910, 0.00075, 1.49830, 259.02692, 1.30822, 0.62626
6, 0.11064, 0.21143, 71.00000, 3.90141, 0.83075, 0.05950, 0.00084, 1.17122, 94.02612, 1.32431, 0.54930
7, 0.08907, 0.17018, 31.00000, 4.32258, 0.74776, 0.05041, 0.00163, 1.01319, 39.18331, 1.26398, 0.54839
8, 0.12982, 0.23733, 139.00000, 3.88489, 0.92532, 0.11568, 0.00083, 1.24071, 182.51401, 1.31305, 0.64748
9, 0.11554, 0.21846, 106.00000, 3.73585, 0.82001, 0.12124, 0.00114, 1.19253, 132.58381, 1.25079, 0.58491
10, 0.10880, 0.20334, 401.00000, 4.11471, 0.83774, 0.33510, 0.00084, 1.16776, 525.63712, 1.31082, 0.61596
11, 0.22847, 0.41008, 137.00000, 3.27737, 1.34891, 0.12683, 0.00093, 1.56190, 181.97633, 1.32829, 0.64964
12, 0.15316, 0.28477, 23.00000, 3.82609, 1.11405, 0.02514, 0.00109, 1.35256, 27.28002, 1.18609, 0.52174
13, 0.11875, 0.23357, 108.00000, 3.38889, 0.79524, 0.12478, 0.00116, 1.13296, 140.94043, 1.30500, 0.64815
14, 0.23133, 0.41492, 25.00000, 3.32000, 1.40594, 0.03228, 0.00129, 1.56847, 32.12407, 1.28496, 0.48000
15, 0.12923, 0.24749, 201.00000, 3.32338, 0.82456, 0.19448, 0.00097, 1.16066, 266.82797, 1.32750, 0.64677
16, 0.22803, 0.40621, 35.00000, 3.02857, 1.24819, 0.02237, 0.00064, 1.56169, 47.85575, 1.36731, 0.65714
17, 0.10451, 0.19898, 211.00000, 4.07583, 0.81295, 0.19710, 0.00093, 1.15426, 276.37761, 1.30985, 0.54502
18, 0.20049, 0.37247, 305.00000, 3.64918, 1.36143, 0.24405, 0.00080, 1.46825, 405.60015, 1.32984, 0.62295
19, 0.16562, 0.30280, 255.00000, 3.57255, 1.08390, 0.24232, 0.00095, 1.44137, 337.87092, 1.32498, 0.62745
20, 0.10459, 0.19891, 24.00000, 4.08333, 0.82970, 0.03625, 0.00151, 1.15482, 31.38510, 1.30771, 0.66667
21, 0.25568, 0.47393, 22.00000, 2.90909, 1.41115, 0.01887, 0.00086, 1.24068, 29.51148, 1.34143, 0.50000
22, 0.17971, 0.33019, 297.00000, 3.06734, 1.01451, 0.26333, 0.00089, 1.37403, 402.03024, 1.35364, 0.63973
23, 0.16892, 0.30830, 304.00000, 3.31579, 1.02394, 0.26994, 0.00089, 1.41908, 396.21451, 1.30334, 0.56250
24, 0.09956, 0.20902, 136.00000, 3.94853, 0.82838, 0.15695, 0.00115, 1.08583, 173.94529, 1.27901, 0.59559
25, 0.16101, 0.29325, 85.00000, 3.74118, 1.10360, 0.10015, 0.00118, 1.41796, 114.58099, 1.34801, 0.55294
26, 0.18794, 0.34838, 400.00000, 2.96000, 1.03250, 0.26657, 0.00067, 1.41192, 541.55392, 1.35388, 0.59500
27, 0.13767, 0.28065, 70.00000, 4.17143, 1.17918, 0.06777, 0.00097, 1.21750, 81.07579, 1.15823, 0.58571
28, 0.12117, 0.22679, 107.00000, 3.75701, 0.85607, 0.12809, 0.00120, 1.22804, 131.19932, 1.22616, 0.59813
29, 0.16104, 0.29201, 108.00000, 3.58333, 1.05126, 0.11936, 0.00111, 1.36962, 134.47380, 1.24513, 0.64815
30, 0.14512, 0.26499, 43.00000, 3.48837, 0.93534, 0.05150, 0.00120, 1.30352, 52.18018, 1.21349, 0.58140
31, 0.14842, 0.27292, 119.00000, 3.73109, 1.02260, 0.09018, 0.00076, 1.35636, 151.42305, 1.27246, 0.57983
32, 0.14583, 0.27370, 48.00000, 3.62500, 1.00266, 0.05558, 0.00116, 1.34990, 59.41113, 1.23773, 0.62500
33, 0.16090, 0.29259, 391.00000, 3.49872, 1.02501, 0.30719, 0.00079, 1.40973, 495.00341, 1.26599, 0.57545
34, 0.14459, 0.27179, 164.00000, 3.86585, 1.05391, 0.14195, 0.00087, 1.36053, 216.80842, 1.32200, 0.56707
35, 0.15742, 0.29582, 198.00000, 3.54040, 1.04996, 0.13426, 0.00068, 1.38801, 247.92076, 1.25213, 0.61616
36, 0.09163, 0.18333, 351.00000, 4.19943, 0.77097, 0.33591, 0.00096, 1.06607, 456.19793, 1.29971, 0.58974
37, 0.20620, 0.39163, 53.00000, 3.69811, 1.46215, 0.05355, 0.00101, 1.39543, 70.21104, 1.32474, 0.56604
38, 0.11950, 0.22755, 100.00000, 3.58000, 0.81872, 0.07186, 0.00072, 1.20212, 135.16168, 1.35162, 0.63000
39, 0.19348, 0.34771, 62.00000, 3.56452, 1.24954, 0.06977, 0.00113, 1.49771, 83.37405, 1.34474, 0.58065
40, 0.17960, 0.32661, 96.00000, 3.44792, 1.13202, 0.07601, 0.00079, 1.48088, 124.00665, 1.29174, 0.58333
41, 0.24368, 0.44606, 25.00000, 3.48000, 1.58430, 0.02856, 0.00114, 1.47689, 33.31351, 1.33254, 0.44000
42, 0.10723, 0.20395, 231.00000, 3.74026, 0.76447, 0.23851, 0.00103, 1.13203, 303.97635, 1.31591, 0.58874
43, 0.10985, 0.22473, 24.00000, 4.12500, 0.94696, 0.03141, 0.00131, 1.11773, 31.41154, 1.30881, 0.75000
44, 0.17661, 0.32738, 193.00000, 3.63212, 1.19216, 0.19016, 0.00099, 1.45971, 254.17249, 1.31696, 0.56995
45, 0.20952, 0.37841, 297.00000, 2.94613, 1.11673, 0.16989, 0.00057, 1.49746, 395.24908, 1.33080, 0.59259
46, 0.14888, 0.37568, 41.00000, 4.21951, 1.60487, 0.01454, 0.00035, 0.49357, 55.74836, 1.35972, 0.43902
47, 0.09408, 0.18749, 22.00000, 3.90909, 0.75018, 0.02946, 0.00134, 1.07128, 25.36100, 1.15277, 0.59091
48, 0.13814, 0.26592, 598.00000, 3.06856, 0.81669, 0.45559, 0.00076, 1.20662, 795.12556, 1.32964, 0.58863
49, 0.12397, 0.23195, 108.00000, 3.71296, 0.86523, 0.11878, 0.00110, 1.24721, 139.56971, 1.29231, 0.55556
50, 0.14658, 0.28447, 43.00000, 3.06977, 0.88359, 0.02931, 0.00068, 1.22248, 58.51263, 1.36076, 0.55814
51, 0.12729, 0.24023, 40.00000, 3.82500, 0.93060, 0.04045, 0.00101, 1.25873, 53.46622, 1.33666, 0.65000
52, 0.16505, 0.30910, 79.00000, 3.55696, 1.10647, 0.07678, 0.00097, 1.40900, 107.00714, 1.35452, 0.64557
53, 0.11320, 0.22319, 684.00000, 4.23684, 0.94631, 0.44419, 0.00065, 1.16976, 913.42934, 1.33542, 0.55263
54, 0.09425, 0.18829, 40.00000, 4.02500, 0.76753, 0.03752, 0.00094, 1.07449, 49.19275, 1.22982, 0.55000
55, 0.10718, 0.19802, 25.00000, 4.12000, 0.83267, 0.03678, 0.00147, 1.08757, 29.22057, 1.16882, 0.68000
56, 0.14892, 0.28857, 67.00000, 3.97015, 1.15431, 0.08489, 0.00127, 1.33948, 83.17876, 1.24147, 0.62687
57, 0.26764, 0.48934, 64.00000, 2.90625, 1.43337, 0.05312, 0.00083, 1.42468, 84.56265, 1.32129, 0.57812
58, 0.12985, 0.24786, 437.00000, 3.97254, 0.98576, 0.38940, 0.00089, 1.29523, 569.18124, 1.30247, 0.58810
59, 0.12221, 0.23921, 213.00000, 3.47418, 0.83301, 0.16607, 0.00078, 1.17784, 261.68398, 1.22856, 0.56808
60, 0.21895, 0.39136, 70.00000, 3.41429, 1.34588, 0.05941, 0.00085, 1.55015, 94.61694, 1.35167, 0.57143
61, 0.19611, 0.37094, 36.00000, 2.77778, 1.04502, 0.02007, 0.00056, 1.22638, 50.02084, 1.38947, 0.61111
62, 0.12716, 0.23719, 498.00000, 3.56627, 0.84672, 0.33146, 0.00067, 1.24111, 637.68930, 1.28050, 0.59839
63, 0.20329, 0.36324, 98.00000, 3.42857, 1.25180, 0.08412, 0.00086, 1.52819, 133.01661, 1.35731, 0.63265
64, 0.10317, 0.20438, 27.00000, 4.14815, 0.86397, 0.03665, 0.00136, 1.10536, 35.68532, 1.32168, 0.66667
65, 0.09056, 0.18637, 121.00000, 4.34711, 0.81354, 0.14067, 0.00116, 1.04454, 158.37911, 1.30892, 0.61983
66, 0.19077, 0.36551, 26.00000, 3.84615, 1.43366, 0.03353, 0.00129, 1.30388, 34.23273, 1.31664, 0.76923
67, 0.09381, 0.18709, 64.00000, 4.29688, 0.81025, 0.05075, 0.00079, 1.06374, 77.84885, 1.21639, 0.60938
68, 0.17870, 0.33775, 72.00000, 3.75000, 1.27545, 0.07464, 0.00104, 1.42763, 91.39138, 1.26932, 0.61111
69, 0.12399, 0.25065, 65.00000, 4.15385, 1.04927, 0.05258, 0.00081, 1.20073, 82.65890, 1.27168, 0.60000
70, 0.17722, 0.32711, 54.00000, 3.70370, 1.22289, 0.06236, 0.00115, 1.46494, 71.71969, 1.32814, 0.57407
71, 0.10060, 0.19331, 29.00000, 3.75862, 0.73946, 0.03228, 0.00111, 1.09347, 39.06785, 1.34717, 0.68966
72, 0.16528, 0.31156, 43.00000, 3.69767, 1.16568, 0.05313, 0.00124, 1.36878, 55.15492, 1.28267, 0.69767
73, 0.17046, 0.31203, 255.00000, 3.36471, 1.05196, 0.22822, 0.00089, 1.43565, 347.69610, 1.36351, 0.60000
74, 0.14007, 0.26624, 43.00000, 4.04651, 1.09007, 0.04322, 0.00101, 1.29582, 52.01107, 1.20956, 0.65116
75, 0.13026, 0.25388, 175.00000, 4.00571, 1.01990, 0.10005, 0.00057, 1.27965, 239.46698, 1.36838, 0.57143
76, 0.10538, 0.20623, 87.00000, 4.17241, 0.86545, 0.08490, 0.00098, 1.13198, 108.09425, 1.24246, 0.62069
77, 0.22609, 0.40600, 39.00000, 2.94872, 1.21284, 0.03674, 0.00094, 1.53958, 53.52976, 1.37256, 0.58974
78, 0.13616, 0.25267, 140.00000, 3.65714, 0.92737, 0.09597, 0.00069, 1.31422, 183.30439, 1.30932, 0.65714
79, 0.16557, 0.30809, 31.00000, 3.64516, 1.14159, 0.02343, 0.00076, 1.35007, 40.76948, 1.31514, 0.48387
80, 0.12779, 0.23572, 48.00000, 3.89583, 0.92804, 0.06121, 0.00128, 1.27093, 63.62531, 1.32553, 0.66667
