uid, num_ratings, log_num_ratings, gini, rating_avg, rating_std, phi_avg, phi_std, proportion_long_tailors, avg_entropy, abnormality, abnormality_CR, itens_avg_num_ratings, avg_rating_from_itens_consumed
1, 53.00000, 5.72792, 0.08414, 4.18868, 0.68097, 0.18805, 0.12552, 0.05660, 1.24593, 0.64022, 0.23736, 1135.83019, 3.92237
2, 129.00000, 7.01123, 0.14695, 3.71318, 1.00151, 0.16768, 0.11941, 0.07752, 1.26818, 0.70757, 0.17479, 1012.79070, 3.76491
3, 51.00000, 5.67243, 0.13184, 3.90196, 0.98499, 0.22794, 0.14023, 0.05882, 1.28259, 0.77326, 0.41303, 1376.78431, 3.78493
4, 21.00000, 4.39232, 0.12013, 4.19048, 1.07792, 0.28292, 0.14075, 0.00000, 1.20501, 0.73828, 0.44046, 1708.80952, 4.04754
5, 198.00000, 7.62936, 0.19857, 3.14646, 1.13270, 0.12470, 0.11153, 0.29293, 1.30822, 0.94618, 0.36312, 753.18687, 3.69991
6, 71.00000, 6.14975, 0.11064, 3.90141, 0.83075, 0.13879, 0.11099, 0.16901, 1.32431, 0.72118, 0.30446, 838.26761, 3.60478
7, 31.00000, 4.95420, 0.08907, 4.32258, 0.74776, 0.26930, 0.11948, 0.00000, 1.26398, 0.76428, 0.14563, 1626.54839, 3.81448
8, 139.00000, 7.11894, 0.12982, 3.88489, 0.92532, 0.13782, 0.11743, 0.17266, 1.31305, 0.70680, 0.13712, 832.40288, 3.62168
9, 106.00000, 6.72792, 0.11554, 3.73585, 0.82001, 0.18941, 0.11333, 0.04717, 1.25079, 0.57133, 0.12561, 1144.03774, 3.86744
10, 401.00000, 8.64746, 0.10880, 4.11471, 0.83774, 0.13838, 0.10167, 0.14464, 1.31082, 0.86046, 0.27795, 835.83791, 3.64218
11, 137.00000, 7.09803, 0.22847, 3.27737, 1.34891, 0.15331, 0.11295, 0.16058, 1.32829, 0.98226, 0.30377, 925.99270, 3.64560
12, 23.00000, 4.52356, 0.15316, 3.82609, 1.11405, 0.18099, 0.12217, 0.08696, 1.18609, 0.72818, 0.10170, 1093.17391, 3.96450
13, 108.00000, 6.75489, 0.11875, 3.38889, 0.79524, 0.19133, 0.12527, 0.08333, 1.30500, 0.56592, 0.19862, 1155.64815, 3.63200
14, 25.00000, 4.64386, 0.23133, 3.32000, 1.40594, 0.21379, 0.13953, 0.08000, 1.28496, 1.02151, 0.61802, 1291.32000, 3.81894
15, 201.00000, 7.65105, 0.12923, 3.32338, 0.82456, 0.16023, 0.11071, 0.07960, 1.32750, 0.63172, 0.17527, 967.78607, 3.54124
16, 35.00000, 5.12928, 0.22803, 3.02857, 1.24819, 0.10583, 0.07954, 0.28571, 1.36731, 0.78411, 0.30602, 639.22857, 3.00137
17, 211.00000, 7.72110, 0.10451, 4.07583, 0.81295, 0.15469, 0.12237, 0.16114, 1.30985, 0.63933, 0.15190, 934.34123, 3.66687
18, 305.00000, 8.25267, 0.20049, 3.64918, 1.36143, 0.13251, 0.10031, 0.12787, 1.32984, 0.89165, 0.26765, 800.33115, 3.47245
19, 255.00000, 7.99435, 0.16562, 3.57255, 1.08390, 0.15736, 0.11508, 0.14510, 1.32498, 0.79204, 0.26444, 950.47843, 3.56357
20, 24.00000, 4.58496, 0.10459, 4.08333, 0.82970, 0.25014, 0.14029, 0.04167, 1.30771, 0.62949, 0.14520, 1510.87500, 3.72753
21, 22.00000, 4.45943, 0.25568, 2.90909, 1.41115, 0.14203, 0.11852, 0.13636, 1.34143, 1.27482, 0.27796, 857.86364, 3.39950
22, 297.00000, 8.21432, 0.17971, 3.06734, 1.01451, 0.14683, 0.10528, 0.12121, 1.35364, 0.77713, 0.27344, 886.83165, 3.43520
23, 304.00000, 8.24793, 0.16892, 3.31579, 1.02394, 0.14704, 0.10246, 0.11842, 1.30334, 0.88034, 0.24275, 888.13158, 3.66857
24, 136.00000, 7.08746, 0.09956, 3.94853, 0.82838, 0.19111, 0.11270, 0.05147, 1.27901, 0.52889, 0.14298, 1154.29412, 3.77525
25, 85.00000, 6.40939, 0.16101, 3.74118, 1.10360, 0.19511, 0.12327, 0.10588, 1.34801, 0.91547, 0.44364, 1178.43529, 3.48888
26, 400.00000, 8.64386, 0.18794, 2.96000, 1.03250, 0.11036, 0.09338, 0.25500, 1.35388, 0.88305, 0.33721, 666.56250, 3.29828
27, 70.00000, 6.12928, 0.13767, 4.17143, 1.17918, 0.16033, 0.12151, 0.08571, 1.15823, 0.74501, 0.29144, 968.41429, 4.06056
28, 107.00000, 6.74147, 0.12117, 3.75701, 0.85607, 0.19824, 0.13115, 0.08411, 1.22616, 0.61420, 0.11371, 1197.37383, 3.98838
29, 108.00000, 6.75489, 0.16104, 3.58333, 1.05126, 0.18302, 0.12327, 0.12037, 1.24513, 0.89927, 0.17953, 1105.44444, 3.82635
30, 43.00000, 5.42626, 0.14512, 3.48837, 0.93534, 0.19834, 0.16633, 0.23256, 1.21349, 0.85228, 0.29150, 1198.00000, 3.97492
31, 119.00000, 6.89482, 0.14842, 3.73109, 1.02260, 0.12550, 0.10372, 0.21849, 1.27246, 0.79614, 0.09707, 758.00840, 3.75588
32, 48.00000, 5.58496, 0.14583, 3.62500, 1.00266, 0.19176, 0.14367, 0.14583, 1.23773, 0.78941, 0.28558, 1158.25000, 3.91101
33, 391.00000, 8.61102, 0.16090, 3.49872, 1.02501, 0.13010, 0.10322, 0.18159, 1.26599, 0.84558, 0.19626, 785.82609, 3.82682
34, 164.00000, 7.35755, 0.14459, 3.86585, 1.05391, 0.14333, 0.09745, 0.09756, 1.32200, 0.76035, 0.24808, 865.72561, 3.52514
35, 198.00000, 7.62936, 0.15742, 3.54040, 1.04996, 0.11229, 0.10195, 0.26263, 1.25213, 0.74795, 0.28229, 678.20707, 3.85652
36, 351.00000, 8.45533, 0.09163, 4.19943, 0.77097, 0.15848, 0.10364, 0.08547, 1.29971, 0.74036, 0.21509, 957.20798, 3.68092
37, 53.00000, 5.72792, 0.20620, 3.69811, 1.46215, 0.16732, 0.11479, 0.15094, 1.32474, 1.09746, 0.28210, 1010.58491, 3.56598
38, 100.00000, 6.64386, 0.11950, 3.58000, 0.81872, 0.11900, 0.08900, 0.20000, 1.35162, 0.52988, 0.11741, 718.73000, 3.47901
39, 62.00000, 5.95420, 0.19348, 3.56452, 1.24954, 0.18635, 0.11095, 0.09677, 1.34474, 0.82323, 0.26480, 1125.54839, 3.53121
40, 96.00000, 6.58496, 0.17960, 3.44792, 1.13202, 0.13112, 0.10985, 0.20833, 1.29174, 0.72163, 0.24851, 791.94792, 3.52399
41, 25.00000, 4.64386, 0.24368, 3.48000, 1.58430, 0.18921, 0.16416, 0.08000, 1.33254, 1.18986, 0.40940, 1142.80000, 3.51703
42, 231.00000, 7.85175, 0.10723, 3.74026, 0.76447, 0.17098, 0.10857, 0.05195, 1.31591, 0.65960, 0.10553, 1032.73160, 3.56641
43, 24.00000, 4.58496, 0.10985, 4.12500, 0.94696, 0.21674, 0.13899, 0.04167, 1.30881, 0.77908, 0.16717, 1309.08333, 3.65375
44, 193.00000, 7.59246, 0.17661, 3.63212, 1.19216, 0.16316, 0.11685, 0.17098, 1.31696, 0.84506, 0.33929, 985.48705, 3.61803
45, 297.00000, 8.21432, 0.20952, 2.94613, 1.11673, 0.09473, 0.08938, 0.33333, 1.33080, 0.93314, 0.22173, 572.14815, 3.44435
46, 41.00000, 5.35755, 0.14888, 4.21951, 1.60487, 0.05872, 0.06914, 0.58537, 1.35972, 2.28349, nan, 354.65854, 2.76666
47, 22.00000, 4.45943, 0.09408, 3.90909, 0.75018, 0.22173, 0.12209, 0.09091, 1.15277, 0.61394, 0.19421, 1339.27273, 4.16689
48, 598.00000, 9.22400, 0.13814, 3.06856, 0.81669, 0.12616, 0.09657, 0.16221, 1.32964, 0.56393, 0.11804, 762.01171, 3.42109
49, 108.00000, 6.75489, 0.12397, 3.71296, 0.86523, 0.18212, 0.11888, 0.08333, 1.29231, 0.64805, 0.15532, 1100.00926, 3.73395
50, 43.00000, 5.42626, 0.14658, 3.06977, 0.88359, 0.11289, 0.11878, 0.34884, 1.36076, 0.59214, 0.28682, 681.83721, 3.29805
51, 40.00000, 5.32193, 0.12729, 3.82500, 0.93060, 0.16747, 0.13336, 0.17500, 1.33666, 0.77688, 0.44724, 1011.52500, 3.57854
52, 79.00000, 6.30378, 0.16505, 3.55696, 1.10647, 0.16094, 0.12238, 0.10127, 1.35452, 0.80305, 0.27684, 972.06329, 3.44174
53, 684.00000, 9.41785, 0.11320, 4.23684, 0.94631, 0.10754, 0.09327, 0.27193, 1.33542, 0.91476, 0.28073, 649.54240, 3.48048
54, 40.00000, 5.32193, 0.09425, 4.02500, 0.76753, 0.15533, 0.09730, 0.12500, 1.22982, 0.51533, 0.10367, 938.20000, 3.97542
55, 25.00000, 4.64386, 0.10718, 4.12000, 0.83267, 0.24360, 0.13411, 0.04000, 1.16882, 0.71805, 0.16255, 1471.32000, 4.06873
56, 67.00000, 6.06609, 0.14892, 3.97015, 1.15431, 0.20980, 0.12250, 0.02985, 1.24147, 0.84997, 0.37065, 1267.20896, 3.93381
57, 64.00000, 6.00000, 0.26764, 2.90625, 1.43337, 0.13746, 0.12314, 0.29688, 1.32129, 0.89363, 0.37910, 830.25000, 3.41309
58, 437.00000, 8.77149, 0.12985, 3.97254, 0.98576, 0.14756, 0.09952, 0.09153, 1.30247, 0.66775, 0.34418, 891.26773, 3.59024
59, 213.00000, 7.73471, 0.12221, 3.47418, 0.83301, 0.12911, 0.10840, 0.19718, 1.22856, 0.69159, 0.07971, 779.85446, 3.97604
60, 70.00000, 6.12928, 0.21895, 3.41429, 1.34588, 0.14055, 0.10137, 0.14286, 1.35167, 1.12085, 0.30947, 848.91429, 3.42059
61, 36.00000, 5.16993, 0.19611, 2.77778, 1.04502, 0.09232, 0.07812, 0.30556, 1.38947, 0.69733, 0.19080, 557.61111, 3.01942
