sample_number, space_size, shape, density, rpu, rpi, gini_u, gini_i, pop_avg, pop_std, pop_skew, pop_kurtosis, long_tail_avg, long_tail_std, long_tail_skew, long_tail_kurtosis, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
001, 361900, 1.1964, 0.0702, 38.6140, 46.1964, 0.4544, 0.6390, 0.2371, 0.0560, 0.4068, 0.1818, 0.1600, 0.1238, 1.0523, 1.4282, 0.0932, 0.0972, 0.0969, 0.0970, 0.1067, 0.3140, 0.1608, 0.1608, 0.2076, 0.1249
002, 772405, 0.5320, 0.0629, 75.7676, 40.3046, 0.4702, 0.6334, 0.1950, 0.0397, 0.4432, 0.3494, 0.1676, 0.1029, 0.7969, 1.1490, 0.0533, 0.0590, 0.0597, 0.0590, 0.0683, 0.2299, 0.1140, 0.1140, 0.1340, 0.0688
003, 546315, 1.4926, 0.0625, 37.8405, 56.4793, 0.4813, 0.6298, 0.1947, 0.0438, 0.3194, 0.4073, 0.1678, 0.1263, 0.9223, 1.2203, 0.0848, 0.0890, 0.0889, 0.0883, 0.1022, 0.2915, 0.1491, 0.1491, 0.1805, 0.1062
004, 140844, 0.1040, 0.0571, 66.4545, 6.9081, 0.4692, 0.6681, 0.2078, 0.0435, 0.1059, -0.7382, 0.1580, 0.0997, 0.6449, 0.5000, 0.0475, 0.0454, 0.0456, 0.0454, 0.0288, 0.2565, 0.1239, 0.1239, 0.1575, 0.0807
005, 92400, 1.3258, 0.0564, 14.8943, 19.7462, 0.4841, 0.6102, 0.1725, 0.0542, 0.2558, 1.2762, 0.1495, 0.1716, 1.8180, 4.9589, 0.1647, 0.1762, 0.1758, 0.1761, 0.1365, 0.3509, 0.2494, 0.2494, 0.2856, 0.1968
006, 903305, 0.7905, 0.0595, 63.6450, 50.3087, 0.4895, 0.6167, 0.1861, 0.0414, 0.3906, 0.1933, 0.1608, 0.1071, 0.9940, 1.7532, 0.0519, 0.0586, 0.0576, 0.0583, 0.0682, 0.2397, 0.1024, 0.1024, 0.1362, 0.0702
007, 181451, 0.9768, 0.0593, 25.5724, 24.9791, 0.4790, 0.6314, 0.2007, 0.0632, 1.5091, 7.2758, 0.1785, 0.1552, 1.2442, 2.3625, 0.1243, 0.1326, 0.1298, 0.1326, 0.1170, 0.3166, 0.1885, 0.1885, 0.2239, 0.1627
008, 558900, 0.8519, 0.0588, 47.5899, 40.5395, 0.4887, 0.6397, 0.2001, 0.0499, 0.5383, 0.5162, 0.1655, 0.1199, 0.9712, 1.5300, 0.0646, 0.0620, 0.0597, 0.0608, 0.0721, 0.2781, 0.1154, 0.1154, 0.1509, 0.0811
009, 433600, 0.2362, 0.0617, 83.6063, 19.7446, 0.4959, 0.6287, 0.1958, 0.0434, 0.2400, 0.0930, 0.1625, 0.1091, 1.2318, 2.6529, 0.0486, 0.0557, 0.0564, 0.0557, 0.0430, 0.2231, 0.1155, 0.1155, 0.1348, 0.0747
010, 366966, 0.3022, 0.0597, 65.7387, 19.8648, 0.4527, 0.6539, 0.2010, 0.0417, 0.2832, -0.3573, 0.1620, 0.0977, 0.7923, 1.3189, 0.0520, 0.0534, 0.0540, 0.0534, 0.0496, 0.2536, 0.1098, 0.1098, 0.1371, 0.0811
