uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.49734, 0.51062, 0.51129, 0.51071, 0.47871, 0.78634, 0.47631, 0.47631, 0.51807, 0.52633
2, 0.91439, 0.86436, 0.87956, 0.86436, 0.73972, 0.81841, 0.93786, 0.93786, 0.94107, 0.85040
3, 0.88180, 0.85231, 0.84862, 0.85231, 0.88873, 0.87000, 0.90332, 0.90332, 0.92994, 0.88613
4, 0.53820, 0.56263, 0.56009, 0.56263, 0.48518, 0.88291, 0.59953, 0.59953, 0.63177, 0.60041
5, 0.57894, 0.61483, 0.60667, 0.61483, 0.55190, 0.90006, 0.60548, 0.60548, 0.72822, 0.61364
6, 0.70593, 0.68523, 0.68447, 0.68525, 0.62615, 0.86601, 0.71271, 0.71271, 0.79487, 0.70624
7, 0.60379, 0.59733, 0.59539, 0.59733, 0.59442, 0.83910, 0.61435, 0.61435, 0.74553, 0.61068
8, 0.74676, 0.75122, 0.74834, 0.75122, 0.65282, 0.87710, 0.74402, 0.74402, 0.82315, 0.75551
9, 0.56763, 0.54202, 0.54975, 0.54202, 0.55878, 0.89129, 0.53722, 0.53722, 0.65237, 0.64256
10, 0.52604, 0.52181, 0.52588, 0.52181, 0.49717, 0.81630, 0.51462, 0.51462, 0.68046, 0.54192
11, 0.58856, 0.60685, 0.60563, 0.60685, 0.56129, 0.81625, 0.63737, 0.63737, 0.67245, 0.66059
12, 0.66794, 0.66358, 0.66680, 0.66358, 0.55374, 0.89266, 0.67227, 0.67227, 0.66692, 0.69597
13, 0.64082, 0.64205, 0.64824, 0.64205, 0.52306, 0.91388, 0.66253, 0.66253, 0.70641, 0.69293
14, 0.83287, 0.83807, 0.83122, 0.83807, 0.73138, 0.93274, 0.85918, 0.85918, 0.86492, 0.81812
15, 0.61455, 0.61708, 0.62056, 0.61708, 0.46942, 0.83512, 0.64050, 0.64050, 0.72589, 0.66175
16, 0.79371, 0.76867, 0.76200, 0.76867, 0.79597, 0.91387, 0.79750, 0.79750, 0.77703, 0.81989
17, 0.51960, 0.55609, 0.55015, 0.55557, 0.51276, 0.81456, 0.54200, 0.54200, 0.36142, 0.59118
18, 0.50472, 0.48728, 0.49170, 0.48728, 0.52066, 0.79893, 0.47052, 0.47052, 0.64718, 0.53542
19, 0.73940, 0.74141, 0.74476, 0.74141, 0.63668, 0.90417, 0.76342, 0.76342, 0.70912, 0.76237
20, 0.69989, 0.73583, 0.73934, 0.73583, 0.60874, 0.89718, 0.79016, 0.79016, 0.80288, 0.78001
21, 0.53328, 0.54686, 0.54492, 0.54682, 0.41734, 0.61968, 0.56988, 0.56988, 0.53665, 0.59592
22, 0.61309, 0.62032, 0.61732, 0.62032, 0.55340, 0.88643, 0.63153, 0.63153, 0.66501, 0.64207
23, 0.71822, 0.76393, 0.76572, 0.76372, 0.34868, 0.78082, 0.80665, 0.80665, 0.76279, 0.81437
24, 0.75599, 0.75808, 0.76069, 0.75808, 0.72863, 0.89233, 0.77421, 0.77421, 0.77514, 0.79819
25, 0.51126, 0.54305, 0.53833, 0.54308, 0.55459, 0.76519, 0.52481, 0.52481, 0.70104, 0.58572
26, 0.48258, 0.49297, 0.49412, 0.49297, 0.41513, 0.81776, 0.49824, 0.49824, 0.47512, 0.52052
27, 0.62102, 0.63035, 0.63193, 0.63035, 0.57563, 0.84385, 0.67008, 0.67008, 0.68130, 0.68583
28, 0.71845, 0.71344, 0.71207, 0.71333, 0.71093, 0.90473, 0.74587, 0.74587, 0.86493, 0.70940
29, 0.60400, 0.64484, 0.65577, 0.64484, 0.58757, 0.94413, 0.64740, 0.64740, 0.72613, 0.64871
