uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.74680, 0.72032, 0.71975, 0.72032, 0.72643, 2.26039, 0.73478, 0.73478, 0.65372, 0.71046
2, 0.45988, 0.42371, 0.42494, 0.42371, 0.41477, 2.85961, 0.40064, 0.40064, 0.35088, 0.40064
3, 0.62765, 0.62333, 0.62232, 0.62333, 0.70200, 1.43079, 0.59587, 0.59587, 0.73864, 0.73511
4, 0.71288, 0.74091, 0.72236, 0.74091, 0.68209, 1.38419, 0.69020, 0.69020, 0.73306, 0.74409
5, 0.61978, 0.56783, 0.56207, 0.56783, 0.60251, 1.37555, 0.51087, 0.51087, 0.55935, 0.54822
6, 0.81926, 0.85933, 0.87645, 0.85933, 0.86276, 2.07886, 0.88077, 0.88077, 0.88048, 0.93416
7, 0.99072, 0.95926, 0.96448, 0.95926, 0.88829, 1.50542, 0.90256, 0.90256, 0.80790, 0.90052
8, 0.64970, 0.70740, 0.73972, 0.71266, 0.79438, 1.19285, 0.70485, 0.70485, 0.64182, 0.74448
9, 0.66809, 0.63482, 0.62873, 0.63482, 0.52099, 2.36423, 0.64747, 0.64747, 0.62640, 0.68305
10, 0.88111, 0.82653, 0.82579, 0.82410, 0.72927, 1.76108, 0.74646, 0.74646, 0.79345, 1.11550
11, 0.86510, 0.91640, 0.89898, 0.91640, 0.89664, 2.30281, 0.80826, 0.80826, 0.84503, 0.68958
12, 0.92348, 0.92047, 0.91735, 0.92047, 0.87072, 1.96270, 0.87159, 0.87159, 0.90743, 0.90231
13, 0.81379, 0.79803, 0.80182, 0.79803, 0.81776, 2.04915, 0.82256, 0.82256, 0.81515, 0.79956
14, 0.71714, 0.72706, 0.72968, 0.72706, 0.71539, 1.62000, 0.69637, 0.69637, 0.72831, 0.73750
15, 0.37830, 0.36512, 0.38092, 0.36512, 0.43290, 2.08357, 0.22676, 0.22676, 0.25238, 0.28344
16, 1.11656, 1.03252, 1.03705, 1.03252, 1.07796, 1.78480, 1.01518, 1.01518, 0.94723, 1.12080
17, 0.86061, 0.82007, 0.82957, 0.82007, 0.89489, 1.86745, 0.92752, 0.92752, 0.92759, 0.93726
18, 0.64301, 0.65057, 0.64770, 0.65206, 0.61858, 2.09264, 0.70366, 0.70366, 0.70138, 0.61453
19, 1.03830, 1.03986, 1.06187, 1.03986, 1.03986, 2.16646, 0.94949, 0.94949, 0.97956, 1.04246
20, 0.62503, 0.63625, 0.64539, 0.63625, 0.68333, 1.69634, 0.66243, 0.66243, 0.66278, 0.64878
