uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.01337, 0.01305, 0.01335, 0.01306, 0.01697, 0.03608, 0.01339, 0.01339, 0.01567, 0.01448
2, 0.01953, 0.01304, 0.01515, 0.01304, 0.01478, 0.01023, 0.03614, 0.03614, 0.03491, 0.02275
3, 0.04272, 0.03349, 0.03296, 0.03349, 0.03555, 0.12438, 0.08507, 0.08507, 0.09828, 0.05813
4, 0.03984, 0.04267, 0.04273, 0.04267, 0.04700, 0.17246, 0.08033, 0.08033, 0.08694, 0.04711
5, 0.00924, 0.01071, 0.01065, 0.01071, 0.00796, 0.17875, 0.02891, 0.02891, 0.03592, 0.00893
6, 0.03927, 0.03708, 0.03599, 0.03708, 0.04692, 0.10202, 0.06741, 0.06741, 0.09993, 0.04644
7, 0.01624, 0.01690, 0.01667, 0.01690, 0.02138, 0.06466, 0.02851, 0.02851, 0.04033, 0.02294
8, 0.03641, 0.03728, 0.03617, 0.03728, 0.02761, 0.11970, 0.05337, 0.05337, 0.05890, 0.03926
9, 0.01218, 0.01149, 0.01170, 0.01149, 0.01677, 0.13005, 0.01224, 0.01224, 0.01632, 0.01549
10, 0.04165, 0.04234, 0.04289, 0.04234, 0.04472, 0.12274, 0.05461, 0.05461, 0.07732, 0.04339
11, 0.05595, 0.06050, 0.05967, 0.06050, 0.05390, 0.12997, 0.08715, 0.08715, 0.08809, 0.07270
12, 0.06419, 0.06627, 0.06849, 0.06627, 0.06996, 0.20549, 0.09789, 0.09789, 0.14176, 0.07632
13, 0.02110, 0.02063, 0.02158, 0.02063, 0.02000, 0.08004, 0.02826, 0.02826, 0.03022, 0.02480
14, 0.04811, 0.04932, 0.04884, 0.04932, 0.03271, 0.16579, 0.07809, 0.07809, 0.07702, 0.05069
15, 0.06778, 0.07072, 0.07147, 0.07072, 0.05074, 0.12852, 0.09468, 0.09468, 0.12886, 0.08345
16, 0.03574, 0.03219, 0.03154, 0.03219, 0.05405, 0.13253, 0.05840, 0.05840, 0.04356, 0.04452
17, 0.02897, 0.03241, 0.03154, 0.03231, 0.03768, 0.08787, 0.03608, 0.03608, 0.02420, 0.03387
18, 0.04983, 0.04804, 0.04860, 0.04804, 0.05114, 0.10368, 0.05779, 0.05779, 0.09016, 0.05092
19, 0.05634, 0.05350, 0.05366, 0.05350, 0.04811, 0.12350, 0.09044, 0.09044, 0.08024, 0.05369
20, 0.05487, 0.06213, 0.06293, 0.06213, 0.04282, 0.15987, 0.09511, 0.09511, 0.09726, 0.07815
21, 0.09006, 0.09290, 0.09256, 0.09290, 0.07725, 0.10010, 0.10269, 0.10269, 0.09901, 0.11358
22, 0.05731, 0.05778, 0.05675, 0.05778, 0.05780, 0.16385, 0.07391, 0.07391, 0.08168, 0.06143
23, 0.01925, 0.02339, 0.02314, 0.02337, 0.00812, 0.05244, 0.03313, 0.03313, 0.02829, 0.02818
24, 0.03512, 0.03725, 0.03669, 0.03725, 0.04775, 0.08525, 0.08644, 0.08644, 0.11108, 0.06662
25, 0.01229, 0.01340, 0.01307, 0.01341, 0.01582, 0.07090, 0.01426, 0.01426, 0.02885, 0.01587
26, 0.03830, 0.03977, 0.03992, 0.03977, 0.04550, 0.10997, 0.07566, 0.07566, 0.06586, 0.04331
27, 0.04700, 0.04843, 0.04827, 0.04843, 0.03761, 0.11971, 0.07638, 0.07638, 0.07561, 0.05821
28, 0.03243, 0.03033, 0.03033, 0.03034, 0.04621, 0.13907, 0.04025, 0.04025, 0.07626, 0.02956
29, 0.00697, 0.00855, 0.00887, 0.00855, 0.01101, 0.09525, 0.01199, 0.01199, 0.01203, 0.00819
30, 0.02861, 0.02795, 0.02831, 0.02795, 0.02904, 0.07046, 0.02695, 0.02695, 0.03371, 0.02925
31, 0.03645, 0.03678, 0.03666, 0.03678, 0.05783, 0.07598, 0.08655, 0.08655, 0.06490, 0.04242
32, 0.04567, 0.04550, 0.04601, 0.04550, 0.04145, 0.08344, 0.06407, 0.06407, 0.06163, 0.05962
33, 0.01276, 0.01363, 0.01403, 0.01366, 0.01463, 0.05743, 0.01552, 0.01552, 0.01463, 0.01657
34, 0.03917, 0.03945, 0.03908, 0.03945, 0.05109, 0.09603, 0.06767, 0.06767, 0.09095, 0.03938
35, 0.05075, 0.04978, 0.05132, 0.04978, 0.04126, 0.16983, 0.06044, 0.06044, 0.04690, 0.05597
36, 0.01590, 0.01631, 0.01664, 0.01631, 0.02506, 0.10200, 0.01734, 0.01734, 0.02700, 0.01796
37, 0.03658, 0.04029, 0.04123, 0.04028, 0.09059, 0.18256, 0.09717, 0.09717, 0.08547, 0.04757
38, 0.09038, 0.10446, 0.10452, 0.10446, 0.07481, 0.16266, 0.14928, 0.14928, 0.14535, 0.10678
39, 0.01962, 0.02069, 0.01985, 0.02069, 0.02750, 0.09408, 0.02794, 0.02794, 0.03267, 0.02063
40, 0.06979, 0.06416, 0.06383, 0.06413, 0.06962, 0.11725, 0.08867, 0.08867, 0.09522, 0.07757
41, 0.07149, 0.07198, 0.07206, 0.07198, 0.06924, 0.11941, 0.13511, 0.13511, 0.18103, 0.08790
42, 0.04273, 0.04609, 0.04735, 0.04609, 0.03644, 0.06312, 0.07949, 0.07949, 0.07165, 0.05620
43, 0.00362, 0.00358, 0.00361, 0.00358, 0.00377, 0.01498, 0.00413, 0.00413, 0.00317, 0.00364
44, 0.01682, 0.01527, 0.01513, 0.01527, 0.01886, 0.05128, 0.04959, 0.04959, 0.03225, 0.01301
45, 0.04026, 0.04225, 0.04275, 0.04225, 0.04455, 0.11137, 0.04934, 0.04934, 0.05440, 0.05304
46, 0.04743, 0.05049, 0.05176, 0.05050, 0.06774, 0.14733, 0.07636, 0.07636, 0.07506, 0.05542
47, 0.02801, 0.02787, 0.02835, 0.02787, 0.03740, 0.08432, 0.03239, 0.03239, 0.05260, 0.03028
48, 0.02717, 0.02524, 0.02574, 0.02524, 0.02654, 0.06834, 0.03872, 0.03872, 0.06542, 0.02584
49, 0.00210, 0.00194, 0.00188, 0.00194, 0.00523, 0.00829, 0.00184, 0.00184, 0.00482, 0.00189
50, 0.04191, 0.04669, 0.04722, 0.04669, 0.05733, 0.13833, 0.06720, 0.06720, 0.06274, 0.05684
51, 0.03470, 0.03602, 0.03470, 0.03602, 0.04760, 0.15137, 0.09068, 0.09068, 0.09007, 0.04028
52, 0.05752, 0.06604, 0.06641, 0.06604, 0.02742, 0.12165, 0.09353, 0.09353, 0.10764, 0.06968
53, 0.02330, 0.02329, 0.02342, 0.02329, 0.02221, 0.03136, 0.03094, 0.03094, 0.02660, 0.02875
54, 0.04710, 0.04954, 0.04981, 0.04954, 0.04454, 0.12083, 0.06323, 0.06323, 0.06003, 0.05942
55, 0.01461, 0.01492, 0.01545, 0.01492, 0.01169, 0.06368, 0.01606, 0.01606, 0.05319, 0.01496
56, 0.03950, 0.04084, 0.04164, 0.04084, 0.03431, 0.07754, 0.06257, 0.06257, 0.08351, 0.04977
57, 0.03432, 0.03216, 0.03295, 0.03216, 0.03803, 0.11023, 0.04537, 0.04537, 0.05812, 0.04283
58, 0.00443, 0.00438, 0.00435, 0.00438, 0.00499, 0.01014, 0.00399, 0.00399, 0.00475, 0.00457
59, 0.02189, 0.02648, 0.02778, 0.02648, 0.01566, 0.03468, 0.06670, 0.06670, 0.03993, 0.01607
60, 0.02477, 0.02539, 0.02535, 0.02539, 0.02513, 0.08937, 0.03012, 0.03012, 0.03396, 0.03252
61, 0.02982, 0.03078, 0.03123, 0.03078, 0.03736, 0.13263, 0.05844, 0.05844, 0.06584, 0.03323
62, 0.02947, 0.02542, 0.02449, 0.02542, 0.01944, 0.06522, 0.03746, 0.03746, 0.03892, 0.02506
63, 0.03607, 0.03859, 0.03908, 0.03859, 0.03308, 0.08438, 0.05384, 0.05384, 0.05172, 0.05335
64, 0.01456, 0.01422, 0.01427, 0.01422, 0.01697, 0.03683, 0.01769, 0.01769, 0.01954, 0.01457
65, 0.02903, 0.02980, 0.03054, 0.02980, 0.02742, 0.07647, 0.03457, 0.03457, 0.03865, 0.03540
66, 0.01288, 0.01447, 0.01501, 0.01447, 0.01963, 0.04103, 0.02783, 0.02783, 0.02644, 0.03067
67, 0.06493, 0.06746, 0.06760, 0.06746, 0.06691, 0.13971, 0.11220, 0.11220, 0.13067, 0.07523
68, 0.00476, 0.00464, 0.00415, 0.00415, 0.02234, 0.22339, 0.00557, 0.00557, 0.01081, 0.00687
69, 0.10082, 0.10145, 0.10041, 0.10145, 0.07610, 0.14528, 0.16730, 0.16730, 0.17109, 0.11599
70, 0.06216, 0.06406, 0.06442, 0.06406, 0.06574, 0.20149, 0.09002, 0.09002, 0.10906, 0.07018
