uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.83270, 0.78698, 0.79564, 0.78698, 0.86083, 6.06677, 0.79635, 0.79635, 0.71905, 0.78431
2, 0.31001, 0.27366, 0.27219, 0.27366, 0.25696, 8.54370, 0.23440, 0.23440, 0.18771, 0.23300
3, 0.65627, 0.67051, 0.66039, 0.67051, 0.76016, 2.55313, 0.60382, 0.60382, 0.91429, 0.79428
4, 0.71493, 0.74974, 0.70021, 0.74974, 0.62466, 2.52168, 0.69024, 0.69024, 0.75111, 0.77454
5, 0.60144, 0.55175, 0.53330, 0.55175, 0.52634, 2.42654, 0.44734, 0.44734, 0.49392, 0.46494
6, 1.02438, 0.93858, 0.99011, 0.93858, 0.99147, 5.24004, 0.99370, 0.99370, 0.96615, 1.13807
7, 1.35878, 1.30755, 1.32720, 1.30755, 1.13599, 3.48435, 1.16242, 1.16242, 0.96377, 1.19370
8, 0.70045, 0.63106, 0.66341, 0.63618, 0.84599, 2.02952, 0.62541, 0.62541, 0.53574, 0.79607
9, 0.62130, 0.57935, 0.57123, 0.57935, 0.52049, 6.06894, 0.54725, 0.54725, 0.51681, 0.67423
10, 1.17908, 1.10445, 1.08134, 1.10430, 0.98276, 4.22935, 0.89668, 0.89668, 1.02341, 1.69400
11, 0.89538, 1.01646, 0.99931, 1.01646, 0.94002, 6.39039, 0.80164, 0.80164, 0.89815, 0.58971
12, 1.34166, 1.30496, 1.29355, 1.30496, 1.15207, 4.90401, 1.18949, 1.18949, 1.24699, 1.29884
13, 0.94619, 0.92380, 0.93732, 0.92380, 0.96181, 5.26578, 0.98515, 0.98515, 0.96597, 0.96436
14, 0.72797, 0.77235, 0.77128, 0.77235, 0.81396, 3.32280, 0.70261, 0.70261, 0.87969, 0.83894
15, 0.18175, 0.17347, 0.17902, 0.17347, 0.21512, 4.56310, 0.11551, 0.11551, 0.09125, 0.10834
16, 2.00353, 1.82136, 1.84804, 1.82136, 1.94034, 4.46487, 1.81548, 1.81548, 1.59580, 2.27332
17, 1.11111, 0.98857, 1.00315, 0.98857, 1.03728, 4.97646, 1.17208, 1.17208, 1.13231, 1.25565
18, 0.64814, 0.68886, 0.68795, 0.68938, 0.52968, 5.48803, 0.78963, 0.78963, 0.72813, 0.67088
19, 1.67837, 1.71522, 1.78758, 1.71522, 1.74795, 6.16369, 1.46669, 1.46669, 1.53289, 1.74067
20, 0.57862, 0.61175, 0.60816, 0.61175, 0.71871, 3.72686, 0.64193, 0.64193, 0.67319, 0.65317
21, 0.64460, 0.57301, 0.59987, 0.57301, 0.75211, 5.77850, 0.57557, 0.57557, 0.46500, 0.51245
22, 0.61264, 0.58053, 0.58761, 0.58053, 0.85717, 11.46814, 0.55725, 0.55725, 0.61740, 0.81276
23, 0.98552, 0.95099, 0.97546, 0.95099, 0.92703, 6.69159, 1.02621, 1.02621, 0.95632, 1.18032
24, 0.44298, 0.42876, 0.41671, 0.42876, 0.34547, 7.60011, 0.36852, 0.36852, 0.32381, 0.47515
25, 0.80239, 0.72202, 0.72664, 0.72202, 1.07088, 4.12683, 0.70244, 0.70244, 0.68479, 0.74121
26, 0.81716, 0.77320, 0.77754, 0.77320, 0.79300, 7.47593, 0.67602, 0.67602, 0.57751, 1.00878
27, 0.59580, 0.64085, 0.63736, 0.64085, 0.57950, 8.86250, 0.71898, 0.71898, 0.72840, 1.13174
28, 0.57214, 0.48338, 0.48301, 0.48338, 0.38775, 7.79294, 0.62998, 0.62998, 0.53477, 1.00548
29, 0.41017, 0.39653, 0.39268, 0.39653, 0.12908, 3.90503, 0.66605, 0.66605, 0.44364, 0.29498
30, 1.20541, 1.24020, 1.23878, 1.24020, 1.28920, 5.04362, 1.12979, 1.12979, 1.34075, 1.55458
31, 2.68586, 2.72550, 2.75894, 2.72550, 1.24108, 8.06855, 2.48588, 2.48588, 1.89194, 2.43758
