uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.26083, 0.13406, 0.13406, 0.11064, 0.00000
2, 0.00000, 0.00000, 0.00000, 0.00000, 0.04481, 0.14903, 0.08212, 0.08212, 0.07196, 0.03344
3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15002, 0.00000, 0.00000, 0.00000, 0.00000
4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.17821, 0.04816, 0.04816, 0.05940, 0.00000
5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.18310, 0.03838, 0.03838, 0.03406, 0.00000
6, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.23409, 0.00000, 0.00000, 0.00000, 0.00000
7, 0.00000, 0.00000, 0.00000, 0.00000, 0.04276, 0.23449, 0.03234, 0.03234, 0.07102, 0.00000
8, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.10699, 0.08298, 0.08298, 0.09165, 0.00000
9, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05046, 0.00000
10, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.09804, 0.00000, 0.00000, 0.00000, 0.00000
11, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.07428, 0.06471, 0.06471, 0.06360, 0.00000
12, 0.00000, 0.00000, 0.00000, 0.00000, 0.03234, 0.28256, 0.17935, 0.17935, 0.16559, 0.00000
13, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.11037, 0.03286, 0.03286, 0.03344, 0.00000
14, 0.00000, 0.00000, 0.00000, 0.00000, 0.03234, 0.00000, 0.00000, 0.00000, 0.04735, 0.00000
15, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.08681, 0.00000
16, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.09479, 0.00000, 0.00000, 0.05633, 0.00000
17, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.15688, 0.00000, 0.00000, 0.00000, 0.00000
18, 0.00000, 0.00000, 0.00000, 0.00000, 0.05181, 0.05092, 0.00000, 0.00000, 0.00000, 0.00000
19, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05229, 0.00000, 0.00000, 0.00000, 0.00000
20, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.12800, 0.07620, 0.07620, 0.04276, 0.00000
21, 0.00000, 0.00000, 0.00000, 0.00000, 0.11896, 0.26895, 0.00000, 0.00000, 0.03889, 0.00000
22, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.06600, 0.04611, 0.04611, 0.04265, 0.00000
23, 0.00000, 0.00000, 0.00000, 0.00000, 0.03731, 0.14758, 0.09333, 0.09333, 0.18359, 0.03838
24, 0.00000, 0.00000, 0.00000, 0.00000, 0.06912, 0.04973, 0.00000, 0.00000, 0.05184, 0.00000
25, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.28611, 0.15071, 0.15071, 0.15923, 0.00000
26, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04016, 0.13297, 0.13297, 0.08495, 0.00000
27, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04904, 0.04904, 0.00000, 0.00000
28, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05994, 0.05446, 0.05446, 0.05184, 0.00000
29, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.10210, 0.00000, 0.00000, 0.00000, 0.00000
30, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.03286, 0.12308, 0.12308, 0.07956, 0.00000
31, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
32, 0.00000, 0.00000, 0.00000, 0.00000, 0.08681, 0.08479, 0.00000, 0.00000, 0.00000, 0.00000
33, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.35632, 0.03551, 0.03551, 0.07825, 0.00000
34, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.06889, 0.00000, 0.00000, 0.00000, 0.00000
35, 0.03731, 0.03406, 0.03731, 0.03406, 0.00000, 0.32131, 0.18685, 0.18685, 0.20034, 0.00000
