uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.01000, 0.05000, 0.04000, 0.05000, 0.05000, 0.17000, 0.12000, 0.12000, 0.11000, 0.07000
2, 0.06000, 0.06000, 0.06000, 0.06000, 0.11000, 0.09000, 0.09000, 0.09000, 0.09000, 0.11000
3, 0.01000, 0.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.00000, 0.00000, 0.00000, 0.01000
4, 0.01000, 0.01000, 0.01000, 0.01000, 0.01000, 0.05000, 0.01000, 0.01000, 0.01000, 0.01000
5, 0.02000, 0.02000, 0.02000, 0.02000, 0.07000, 0.12000, 0.03000, 0.03000, 0.07000, 0.04000
6, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.03000, 0.00000, 0.00000, 0.01000, 0.00000
7, 0.01000, 0.01000, 0.01000, 0.01000, 0.05000, 0.08000, 0.03000, 0.03000, 0.02000, 0.00000
8, 0.01000, 0.01000, 0.01000, 0.01000, 0.01000, 0.02000, 0.01000, 0.01000, 0.01000, 0.01000
9, 0.01000, 0.01000, 0.01000, 0.01000, 0.01000, 0.03000, 0.01000, 0.01000, 0.02000, 0.01000
10, 0.00000, 0.00000, 0.00000, 0.00000, 0.01000, 0.03000, 0.00000, 0.00000, 0.01000, 0.00000
11, 0.01000, 0.00000, 0.01000, 0.00000, 0.02000, 0.01000, 0.01000, 0.01000, 0.01000, 0.01000
12, 0.03000, 0.02000, 0.02000, 0.02000, 0.07000, 0.15000, 0.09000, 0.09000, 0.14000, 0.02000
13, 0.04000, 0.03000, 0.03000, 0.03000, 0.05000, 0.09000, 0.03000, 0.03000, 0.04000, 0.04000
14, 0.00000, 0.02000, 0.02000, 0.02000, 0.01000, 0.03000, 0.01000, 0.01000, 0.02000, 0.01000
15, 0.02000, 0.02000, 0.02000, 0.02000, 0.00000, 0.01000, 0.01000, 0.01000, 0.02000, 0.00000
16, 0.00000, 0.01000, 0.00000, 0.01000, 0.01000, 0.04000, 0.01000, 0.01000, 0.01000, 0.01000
17, 0.00000, 0.00000, 0.00000, 0.00000, 0.01000, 0.05000, 0.00000, 0.00000, 0.02000, 0.00000
18, 0.01000, 0.01000, 0.01000, 0.01000, 0.04000, 0.06000, 0.01000, 0.01000, 0.02000, 0.01000
19, 0.01000, 0.00000, 0.00000, 0.00000, 0.01000, 0.07000, 0.03000, 0.03000, 0.02000, 0.01000
20, 0.03000, 0.03000, 0.02000, 0.03000, 0.05000, 0.06000, 0.05000, 0.05000, 0.07000, 0.04000
