uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.67647, 0.68978, 0.69203, 0.68978, 0.71528, 2.37563, 0.67089, 0.67089, 0.66231, 0.63685
2, 0.29296, 0.29652, 0.25422, 0.29652, 0.45907, 2.99469, 0.40717, 0.40717, 0.45516, 0.41512
3, 0.67627, 0.69937, 0.69793, 0.69937, 0.75963, 3.19770, 0.71547, 0.71547, 0.72868, 0.72933
4, 1.27950, 1.28734, 1.27916, 1.28734, 1.36120, 2.15612, 1.28547, 1.28547, 1.22865, 1.37177
5, 0.95882, 0.98104, 1.00184, 0.98104, 1.11718, 1.85308, 1.08296, 1.08296, 0.96718, 1.25590
6, 0.77937, 0.77973, 0.78486, 0.77973, 0.89785, 2.59845, 0.76305, 0.76305, 0.79100, 0.78855
7, 0.91114, 0.88629, 0.88579, 0.88629, 0.92349, 2.30477, 0.85438, 0.85438, 0.82894, 0.99854
8, 1.16555, 1.20924, 1.20621, 1.20924, 1.32871, 2.36334, 1.16565, 1.16565, 1.18339, 1.25092
9, 1.16715, 1.16196, 1.14788, 1.16196, 1.18572, 2.63106, 1.04548, 1.04548, 1.00899, 1.02582
10, 0.95546, 0.96198, 0.95580, 0.96198, 0.90139, 2.99695, 0.85889, 0.85889, 0.90592, 1.00995
11, 1.08619, 1.03554, 1.03515, 1.03554, 1.05312, 2.82011, 1.01062, 1.01062, 1.06567, 1.12562
12, 0.95884, 0.93025, 0.92452, 0.93025, 0.99193, 2.32798, 0.90385, 0.90385, 0.90787, 0.91052
13, 0.97044, 0.95479, 0.95739, 0.95479, 0.93998, 2.20400, 0.90800, 0.90800, 0.90207, 0.85079
14, 1.00666, 0.99462, 0.99384, 0.99462, 1.06555, 2.47596, 0.98631, 0.98631, 1.00726, 0.98065
15, 0.72661, 0.74101, 0.73484, 0.74101, 0.89305, 2.74992, 0.73570, 0.73570, 0.72506, 0.74122
16, 0.79490, 0.80283, 0.79975, 0.80283, 0.87528, 2.38904, 0.78177, 0.78177, 0.83163, 0.83621
17, 1.01487, 0.99279, 0.97751, 0.99247, 1.00505, 1.29671, 0.99889, 0.99889, 1.13436, 1.01282
18, 0.91272, 0.90798, 0.90389, 0.90798, 0.87064, 2.24669, 0.85221, 0.85221, 0.83606, 0.92325
19, 0.63040, 0.62080, 0.62247, 0.62080, 0.64665, 2.41681, 0.59559, 0.59559, 0.59026, 0.64878
20, 1.04696, 1.03593, 1.04047, 1.03593, 1.08287, 2.39135, 1.05302, 1.05302, 1.06742, 1.05499
21, 1.19038, 1.21225, 1.21943, 1.21225, 1.35853, 1.30673, 1.18932, 1.18932, 1.54471, 1.29302
22, 0.81505, 0.80339, 0.80183, 0.80339, 0.86600, 2.08370, 0.79299, 0.79299, 0.78457, 0.86177
23, 1.01020, 1.01960, 1.03326, 1.01960, 1.00350, 2.31737, 1.03149, 1.03149, 1.04952, 0.94920
24, 0.68595, 0.68158, 0.68898, 0.68158, 0.66432, 2.46681, 0.63697, 0.63697, 0.62628, 0.62769
25, 0.82576, 0.75782, 0.75595, 0.75782, 0.60986, 3.09241, 0.69377, 0.69377, 0.79386, 0.97179
