uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.00000, 0.00000, 0.04762, 0.00000, 0.04762, 0.19048, 0.04762, 0.04762, 0.09524, 0.04762
2, 0.20000, 0.20000, 0.20000, 0.20000, 0.20000, 0.20000, 0.60000, 0.60000, 0.40000, 0.40000
3, 0.42857, 0.35714, 0.35714, 0.35714, 0.14286, 0.28571, 0.50000, 0.50000, 0.50000, 0.35714
4, 0.01613, 0.04839, 0.04839, 0.04839, 0.11290, 0.29032, 0.14516, 0.14516, 0.19355, 0.04839
5, 0.10000, 0.10000, 0.10000, 0.10000, 0.00000, 0.50000, 0.20000, 0.20000, 0.20000, 0.00000
6, 0.05263, 0.07895, 0.07895, 0.07895, 0.15789, 0.31579, 0.21053, 0.21053, 0.23684, 0.13158
7, 0.09524, 0.09524, 0.09524, 0.09524, 0.04762, 0.28571, 0.09524, 0.09524, 0.14286, 0.04762
8, 0.15152, 0.12121, 0.12121, 0.12121, 0.06061, 0.36364, 0.15152, 0.15152, 0.18182, 0.15152
9, 0.00000, 0.00000, 0.00000, 0.00000, 0.11111, 0.38889, 0.00000, 0.00000, 0.05556, 0.00000
10, 0.03030, 0.04545, 0.04545, 0.04545, 0.07576, 0.19697, 0.13636, 0.13636, 0.13636, 0.07576
11, 0.09459, 0.05405, 0.04054, 0.05405, 0.05405, 0.21622, 0.20270, 0.20270, 0.17568, 0.13514
12, 0.12121, 0.13636, 0.13636, 0.13636, 0.19697, 0.34848, 0.21212, 0.21212, 0.25758, 0.09091
13, 0.08696, 0.08696, 0.08696, 0.08696, 0.13043, 0.43478, 0.13043, 0.13043, 0.13043, 0.08696
14, 0.16000, 0.20000, 0.20000, 0.20000, 0.04000, 0.56000, 0.40000, 0.40000, 0.36000, 0.28000
15, 0.02970, 0.03960, 0.04950, 0.03960, 0.00000, 0.13861, 0.14851, 0.14851, 0.14851, 0.07921
16, 0.14286, 0.14286, 0.14286, 0.14286, 0.38095, 0.33333, 0.33333, 0.33333, 0.23810, 0.28571
17, 0.02128, 0.02128, 0.02128, 0.02128, 0.12766, 0.21277, 0.08511, 0.08511, 0.04255, 0.02128
18, 0.02353, 0.03529, 0.03529, 0.03529, 0.00000, 0.16471, 0.10588, 0.10588, 0.20000, 0.03529
19, 0.12766, 0.12766, 0.12766, 0.12766, 0.10638, 0.27660, 0.29787, 0.29787, 0.25532, 0.10638
20, 0.08197, 0.06557, 0.06557, 0.06557, 0.00000, 0.34426, 0.19672, 0.19672, 0.19672, 0.14754
21, 0.03597, 0.02878, 0.03597, 0.02878, 0.00719, 0.07914, 0.05755, 0.05755, 0.05036, 0.09353
22, 0.03947, 0.00000, 0.00000, 0.00000, 0.09211, 0.26316, 0.13158, 0.13158, 0.17105, 0.03947
23, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.22222, 0.22222, 0.22222, 0.11111, 0.00000
24, 0.15385, 0.19231, 0.19231, 0.19231, 0.26923, 0.38462, 0.23077, 0.23077, 0.26923, 0.23077
25, 0.05000, 0.00000, 0.00000, 0.00000, 0.10000, 0.30000, 0.05000, 0.05000, 0.15000, 0.05000
26, 0.07576, 0.07576, 0.07576, 0.07576, 0.13636, 0.16667, 0.15152, 0.15152, 0.12121, 0.06061
27, 0.03226, 0.08065, 0.06452, 0.08065, 0.00000, 0.19355, 0.17742, 0.17742, 0.08065, 0.09677
28, 0.03448, 0.03448, 0.10345, 0.03448, 0.20690, 0.44828, 0.06897, 0.06897, 0.27586, 0.03448
29, 0.00000, 0.00000, 0.12500, 0.00000, 0.00000, 0.62500, 0.12500, 0.12500, 0.12500, 0.00000
30, 0.00000, 0.01887, 0.00000, 0.01887, 0.00000, 0.15094, 0.01887, 0.01887, 0.03774, 0.01887
31, 0.08108, 0.08108, 0.08108, 0.08108, 0.21622, 0.18919, 0.18919, 0.18919, 0.21622, 0.08108
32, 0.03636, 0.03636, 0.03636, 0.03636, 0.01818, 0.18182, 0.14545, 0.14545, 0.12727, 0.09091
33, 0.00000, 0.00000, 0.00000, 0.00000, 0.04762, 0.23810, 0.04762, 0.04762, 0.00000, 0.00000
34, 0.22222, 0.14815, 0.14815, 0.14815, 0.25926, 0.40741, 0.22222, 0.22222, 0.40741, 0.07407
35, 0.05263, 0.05263, 0.05263, 0.05263, 0.01316, 0.30263, 0.10526, 0.10526, 0.05263, 0.06579
