uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.79786, 0.79359, 0.79449, 0.79359, 0.78864, 1.81281, 0.79631, 0.79631, 0.78423, 0.77815
2, 0.80079, 0.77742, 0.76753, 0.77575, 0.73927, 1.45271, 0.75888, 0.75888, 0.74748, 0.77542
3, 0.85482, 0.84782, 0.86758, 0.84782, 0.90835, 2.08570, 0.78487, 0.78487, 0.83865, 0.89306
4, 0.93165, 0.91709, 0.91203, 0.91709, 0.87799, 1.95180, 0.85192, 0.85192, 0.94324, 0.90824
5, 1.11818, 1.09458, 1.10839, 1.09458, 1.05668, 1.56809, 0.87788, 0.87788, 0.89277, 1.08913
6, 0.74095, 0.77761, 0.77509, 0.77145, 0.66663, 1.39630, 0.55646, 0.55646, 0.57267, 0.57341
7, 0.67969, 0.66361, 0.68385, 0.66361, 0.63351, 2.05713, 0.58337, 0.58337, 0.56414, 0.66746
8, 0.91659, 0.88417, 0.91508, 0.88682, 0.89844, 1.29349, 0.81965, 0.81965, 0.87281, 0.92322
9, 1.14549, 1.14609, 1.15195, 1.14609, 1.04881, 2.06453, 0.93541, 0.93541, 0.91939, 1.06180
10, 0.92348, 0.91601, 0.91515, 0.91601, 0.87931, 2.00216, 0.89982, 0.89982, 0.86631, 0.99206
11, 0.71975, 0.69239, 0.71444, 0.69975, 0.60602, 2.28996, 0.60168, 0.60168, 0.62782, 0.65876
12, 0.72117, 0.69333, 0.68003, 0.69333, 0.68844, 2.31982, 0.68567, 0.68567, 0.69954, 0.71419
13, 0.82285, 0.82431, 0.84533, 0.84844, 0.87994, 2.75271, 0.85756, 0.85756, 0.83540, 0.99639
14, 0.52649, 0.50971, 0.51259, 0.50971, 0.47262, 1.81296, 0.48596, 0.48596, 0.48740, 0.51123
15, 0.69447, 0.70486, 0.71150, 0.70486, 0.62786, 1.79919, 0.62129, 0.62129, 0.61585, 0.67699
