uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.01976, 0.02107, 0.02092, 0.02107, 0.03045, 0.07022, 0.02794, 0.02794, 0.02793, 0.02195
2, 0.01029, 0.01026, 0.01053, 0.01038, 0.01033, 0.03178, 0.01459, 0.01459, 0.01806, 0.00891
3, 0.01528, 0.01847, 0.01767, 0.01852, 0.01884, 0.01204, 0.01915, 0.01915, 0.02121, 0.01476
4, 0.01336, 0.01227, 0.01256, 0.01227, 0.02367, 0.10991, 0.02836, 0.02836, 0.02063, 0.01917
5, 0.00996, 0.00934, 0.00973, 0.00934, 0.01679, 0.03237, 0.01829, 0.01829, 0.01205, 0.01100
6, 0.01353, 0.01957, 0.01715, 0.01781, 0.00580, 0.08969, 0.01664, 0.01664, 0.01209, 0.02247
7, 0.02550, 0.02528, 0.02535, 0.02528, 0.03681, 0.06993, 0.02741, 0.02741, 0.02756, 0.02662
8, 0.00679, 0.00705, 0.00699, 0.00700, 0.01488, 0.01929, 0.01707, 0.01707, 0.01551, 0.00791
9, 0.05572, 0.05572, 0.05664, 0.05572, 0.06988, 0.12463, 0.06594, 0.06594, 0.07138, 0.06656
10, 0.04520, 0.04409, 0.04411, 0.04409, 0.03825, 0.10567, 0.07517, 0.07517, 0.08121, 0.04513
11, 0.00781, 0.00813, 0.00788, 0.00806, 0.01540, 0.06337, 0.01665, 0.01665, 0.01879, 0.00814
12, 0.01987, 0.01861, 0.01809, 0.01861, 0.02646, 0.04709, 0.01947, 0.01947, 0.02368, 0.01886
13, 0.00461, 0.00546, 0.00516, 0.00539, 0.00446, 0.01513, 0.00599, 0.00599, 0.00521, 0.00459
14, 0.05170, 0.05232, 0.05172, 0.05232, 0.07328, 0.12831, 0.06761, 0.06761, 0.06948, 0.05755
15, 0.04447, 0.04078, 0.04038, 0.04078, 0.04957, 0.17692, 0.08767, 0.08767, 0.07725, 0.04670
16, 0.01045, 0.01074, 0.01057, 0.01078, 0.01367, 0.03796, 0.02626, 0.02626, 0.01808, 0.01069
17, 0.03411, 0.03446, 0.03407, 0.03446, 0.05595, 0.13714, 0.04581, 0.04581, 0.05622, 0.03905
18, 0.00224, 0.00175, 0.00187, 0.00177, 0.00704, 0.00680, 0.00251, 0.00251, 0.00313, 0.00195
19, 0.02880, 0.02696, 0.02725, 0.02696, 0.04741, 0.09082, 0.04693, 0.04693, 0.03924, 0.03198
20, 0.00506, 0.00632, 0.00629, 0.00881, 0.00882, 0.04453, 0.00778, 0.00778, 0.07514, 0.00773
21, 0.03636, 0.03622, 0.03609, 0.03622, 0.03975, 0.10432, 0.05168, 0.05168, 0.04908, 0.03911
22, 0.01412, 0.01576, 0.01262, 0.01478, 0.01258, 0.11505, 0.02396, 0.02396, 0.02083, 0.01441
23, 0.00374, 0.00392, 0.00389, 0.00388, 0.00815, 0.02610, 0.00634, 0.00634, 0.02521, 0.00431
24, 0.01991, 0.01776, 0.01804, 0.01776, 0.03727, 0.08818, 0.02540, 0.02540, 0.03153, 0.02026
25, 0.00641, 0.00826, 0.00631, 0.00684, 0.00742, 0.01785, 0.13941, 0.13941, 0.04610, 0.01641
26, 0.03353, 0.03493, 0.03570, 0.03493, 0.06004, 0.12310, 0.06153, 0.06153, 0.04517, 0.04211
27, 0.03534, 0.03540, 0.03648, 0.03540, 0.03867, 0.08808, 0.04129, 0.04129, 0.04992, 0.04029
28, 0.03353, 0.03147, 0.03310, 0.03147, 0.05763, 0.12032, 0.07644, 0.07644, 0.06437, 0.03367
29, 0.02617, 0.02923, 0.02899, 0.02923, 0.03398, 0.10093, 0.06677, 0.06677, 0.08702, 0.03025
30, 0.12851, 0.13303, 0.13206, 0.13303, 0.11253, 0.15012, 0.15332, 0.15332, 0.15421, 0.14036
31, 0.01367, 0.01365, 0.01374, 0.01365, 0.02035, 0.07050, 0.01458, 0.01458, 0.01842, 0.01584
32, 0.04607, 0.04410, 0.04475, 0.04410, 0.07853, 0.14966, 0.06492, 0.06492, 0.06596, 0.05458
33, 0.01824, 0.01719, 0.01639, 0.01748, 0.02194, 0.06387, 0.02390, 0.02390, 0.01591, 0.01865
34, 0.01419, 0.01550, 0.01553, 0.01536, 0.01908, 0.04647, 0.02054, 0.02054, 0.02834, 0.01506
35, 0.01052, 0.00854, 0.00848, 0.00874, 0.00500, 0.03225, 0.01400, 0.01400, 0.01943, 0.00680
36, 0.02963, 0.03160, 0.03146, 0.03160, 0.05382, 0.11529, 0.06696, 0.06696, 0.07262, 0.03549
37, 0.02646, 0.02613, 0.02680, 0.02613, 0.04507, 0.08727, 0.03758, 0.03758, 0.04828, 0.02641
38, 0.00394, 0.00518, 0.00301, 0.00356, 0.00231, 0.01520, 0.00908, 0.00908, 0.00596, 0.00258
39, 0.02629, 0.02452, 0.02655, 0.02452, 0.07070, 0.10299, 0.06417, 0.06417, 0.03460, 0.03137
40, 0.03419, 0.03184, 0.03259, 0.03184, 0.06524, 0.11823, 0.05043, 0.05043, 0.07087, 0.03938
41, 0.02572, 0.02543, 0.02599, 0.02543, 0.03779, 0.10407, 0.04180, 0.04180, 0.03698, 0.03319
42, 0.02370, 0.02330, 0.02361, 0.02330, 0.06058, 0.10914, 0.06978, 0.06978, 0.07382, 0.02742
43, 0.01112, 0.01183, 0.01180, 0.01183, 0.03907, 0.02917, 0.04663, 0.04663, 0.05344, 0.01293
44, 0.02394, 0.02211, 0.02217, 0.02211, 0.03951, 0.07520, 0.03732, 0.03732, 0.03734, 0.03035
45, 0.01002, 0.01279, 0.01134, 0.01162, 0.01824, 0.08708, 0.01248, 0.01248, 0.01762, 0.01486
46, 0.04498, 0.04516, 0.04674, 0.04516, 0.07962, 0.13639, 0.06593, 0.06593, 0.06190, 0.05620
47, 0.06471, 0.06564, 0.06600, 0.06564, 0.06273, 0.13343, 0.07386, 0.07386, 0.08662, 0.07738
48, 0.01103, 0.01097, 0.01045, 0.01101, 0.03331, 0.09197, 0.02515, 0.02515, 0.02131, 0.01658
49, 0.02615, 0.02625, 0.02670, 0.02625, 0.04659, 0.10818, 0.05186, 0.05186, 0.04832, 0.02955
50, 0.05806, 0.05891, 0.05791, 0.05891, 0.07119, 0.08419, 0.09540, 0.09540, 0.10876, 0.08385
51, 0.03938, 0.03870, 0.03827, 0.03870, 0.06250, 0.12891, 0.07176, 0.07176, 0.06136, 0.04392
52, 0.04973, 0.05567, 0.05523, 0.05567, 0.07360, 0.10619, 0.09399, 0.09399, 0.09063, 0.07487
53, 0.03692, 0.03584, 0.03664, 0.03584, 0.05544, 0.11254, 0.04848, 0.04848, 0.06929, 0.04602
54, 0.00419, 0.00443, 0.00421, 0.00453, 0.00515, 0.07932, 0.00629, 0.00629, 0.00562, 0.00474
55, 0.00633, 0.00674, 0.00627, 0.00650, 0.01468, 0.04761, 0.01742, 0.01742, 0.01195, 0.00653
56, 0.03532, 0.03772, 0.03618, 0.03772, 0.07113, 0.06474, 0.08193, 0.08193, 0.06292, 0.04634
57, 0.00473, 0.00238, 0.00296, 0.00246, 0.00164, 0.00259, 0.00420, 0.00420, 0.00545, 0.01067
58, 0.02112, 0.02131, 0.02107, 0.02131, 0.03858, 0.11752, 0.05253, 0.05253, 0.02769, 0.02321
59, 0.04868, 0.04731, 0.04768, 0.04731, 0.05464, 0.11991, 0.07139, 0.07139, 0.06130, 0.05056
60, 0.01702, 0.01741, 0.01726, 0.01741, 0.03771, 0.09831, 0.05384, 0.05384, 0.02856, 0.01944
61, 0.03703, 0.03611, 0.03639, 0.03611, 0.04511, 0.10413, 0.06912, 0.06912, 0.05629, 0.04343
62, 0.02902, 0.02697, 0.02761, 0.02697, 0.04393, 0.08115, 0.02495, 0.02495, 0.03803, 0.03377
63, 0.00792, 0.00813, 0.00949, 0.00786, 0.00499, 0.03643, 0.00808, 0.00808, 0.01011, 0.00834
64, 0.02493, 0.02307, 0.02294, 0.02309, 0.03405, 0.05524, 0.02541, 0.02541, 0.03715, 0.02200
65, 0.00200, 0.00635, 0.00265, 0.00801, 0.00414, 0.02074, 0.10149, 0.10149, 0.02209, 0.00336
