uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.38141, 0.43548, 0.35286, 0.40320, 0.32539, 5.13955, 0.24009, 0.24009, 0.24870, 0.22878
2, 0.66722, 0.69307, 0.68690, 0.69307, 0.61401, 6.58861, 0.60142, 0.60142, 0.61660, 0.82648
3, 0.48146, 0.40217, 0.40243, 0.39706, 0.57533, 0.93055, 0.38628, 0.38628, 0.51367, 0.42078
4, 0.68441, 0.65913, 0.65330, 0.65785, 0.64219, 5.06959, 0.67679, 0.67679, 0.61834, 0.57074
5, 0.73303, 0.71762, 0.70888, 0.71762, 0.71383, 7.36952, 0.46575, 0.46575, 0.48434, 0.73544
6, 0.36042, 0.29048, 0.28378, 0.28160, 0.25270, 7.03392, 0.26408, 0.26408, 0.23597, 0.28031
7, 0.61628, 0.65388, 0.56357, 0.69682, 0.15020, 2.07428, 0.21046, 0.21046, 0.18397, 0.21778
8, 1.03865, 0.98832, 1.00674, 0.98832, 1.03072, 3.98476, 0.91597, 0.91597, 0.93386, 0.98324
9, 1.06430, 0.91052, 0.94253, 0.91052, 0.82302, 7.98085, 0.99377, 0.99377, 0.87863, 0.96544
10, 0.78894, 0.75372, 0.77889, 0.77873, 0.61115, 3.98198, 0.54159, 0.54159, 0.39243, 0.53550
11, 0.91879, 0.89347, 0.92274, 0.89050, 0.54860, 8.10997, 0.84014, 0.84014, 0.76090, 1.01191
12, 0.22542, 0.21350, 0.21956, 0.21097, 0.43258, 4.80493, 0.19709, 0.19709, 0.19298, 0.21233
13, 0.60237, 0.45148, 0.51073, 0.46886, 0.58937, 7.63482, 0.42885, 0.42885, 0.53189, 0.50144
14, 0.65107, 0.64288, 0.62954, 0.63734, 0.45689, 8.81287, 0.45202, 0.45202, 0.36751, 0.96284
15, 1.20748, 1.17593, 1.18203, 1.17593, 0.87914, 2.72438, 0.76556, 0.76556, 0.70725, 0.95934
16, 0.47276, 0.32292, 0.32462, 0.36371, 0.21739, 3.62351, 0.21678, 0.21678, 0.26305, 0.28223
17, 1.55739, 1.60244, 1.53345, 1.63279, 1.78432, 5.69928, 1.07455, 1.07455, 1.35442, 1.28478
18, 1.35256, 1.42844, 1.36152, 1.40491, 1.70208, 4.41506, 1.17363, 1.17363, 1.18588, 1.34122
19, 1.95149, 1.81483, 1.81043, 1.82757, 2.00174, 3.95183, 1.54615, 1.54615, 1.72603, 1.85749
20, 0.75921, 0.74712, 0.74073, 0.74712, 0.72269, 6.22801, 0.68058, 0.68058, 0.69877, 0.71178
21, 0.63876, 0.58196, 0.56164, 0.58196, 0.57419, 5.67575, 0.54427, 0.54427, 0.59807, 0.58020
22, 1.38882, 1.31575, 1.30045, 1.31575, 1.24219, 4.88697, 1.30258, 1.30258, 1.30886, 1.46109
23, 0.74323, 0.71266, 0.69997, 0.70027, 0.83701, 5.55850, 0.47543, 0.47543, 0.55769, 0.60078
24, 1.27047, 1.27543, 1.28364, 1.27543, 1.11398, 4.64659, 1.14145, 1.14145, 1.19410, 1.31144
25, 1.73424, 1.64060, 1.61122, 1.62057, 1.70443, 3.28872, 1.48394, 1.48394, 1.65545, 1.79770
26, 0.60509, 0.53271, 0.54314, 0.53237, 0.72586, 5.02896, 0.37423, 0.37423, 0.37430, 0.48353
27, 0.58962, 0.57682, 0.57823, 0.57682, 0.56235, 9.87784, 0.43640, 0.43640, 0.43931, 0.43770
28, 1.22510, 1.13894, 1.11169, 1.13894, 0.90018, 6.54332, 1.09908, 1.09908, 1.12385, 1.14681
29, 0.62751, 0.55972, 0.57796, 0.53954, 0.49334, 6.42767, 0.44522, 0.44522, 0.48944, 0.52839
30, 1.94258, 1.90468, 1.89736, 1.90908, 1.73829, 6.47455, 1.90421, 1.90421, 1.86983, 2.00988
31, 2.35819, 2.08027, 2.11271, 2.09597, 1.86791, 4.39387, 1.76245, 1.76245, 1.50670, 1.38061
32, 0.59657, 0.54822, 0.65757, 0.59236, 0.83728, 9.93861, 0.72386, 0.72386, 0.72678, 0.74712
33, 0.83070, 0.69534, 0.70254, 0.72212, 0.58418, 5.95476, 0.40160, 0.40160, 0.46218, 0.56466
34, 0.59858, 0.51612, 0.57645, 0.52293, 0.40177, 7.31386, 0.53050, 0.53050, 0.50009, 0.56648
35, 1.29581, 1.24899, 1.26790, 1.24899, 1.21639, 4.84052, 1.06158, 1.06158, 1.03816, 1.22099
36, 1.26458, 1.07562, 1.09384, 1.06096, 1.12497, 5.94982, 1.15886, 1.15886, 1.07706, 1.15876
37, 1.10321, 1.01386, 1.03296, 1.02415, 0.90369, 4.57695, 0.79906, 0.79906, 0.81170, 0.81580
38, 0.46120, 0.34839, 0.35853, 0.34386, 0.33933, 5.54296, 0.30138, 0.30138, 0.34210, 0.39688
39, 0.77547, 0.75551, 0.74363, 0.75765, 0.68969, 6.66617, 0.75346, 0.75346, 0.72010, 0.72150
40, 1.36500, 1.27553, 1.28203, 1.27570, 1.34443, 4.14889, 1.24885, 1.24885, 1.25449, 1.30621
41, 0.89406, 0.84626, 0.86484, 0.84626, 0.78114, 4.98465, 0.65847, 0.65847, 0.74117, 0.79862
42, 3.02574, 3.11275, 3.07053, 3.13852, 3.05197, 5.99967, 2.77529, 2.77529, 2.99360, 3.13367
43, 0.26890, 0.28449, 0.25669, 0.27626, 0.47407, 8.74214, 0.63953, 0.63953, 0.58138, 0.55878
44, 0.27498, 0.28256, 0.19953, 0.22284, 0.30602, 3.17917, 0.33452, 0.33452, 0.31266, 0.33700
45, 1.39230, 1.44079, 1.37301, 1.44079, 1.54898, 7.37616, 1.35920, 1.35920, 1.41914, 1.48361
46, 1.60597, 1.50272, 1.59474, 1.58513, 2.11492, 1.99805, 1.74916, 1.74916, 1.83159, 1.64384
47, 0.95065, 1.12074, 0.97651, 1.05089, 1.23488, 3.80723, 1.34027, 1.34027, 1.35964, 1.95610
48, 0.34287, 0.29461, 0.28916, 0.29461, 0.26097, 7.36492, 0.26684, 0.26684, 0.26859, 0.32175
49, 0.47677, 0.28907, 0.31383, 0.30889, 0.26923, 10.68846, 0.30097, 0.30097, 0.34967, 0.35798
50, 0.96602, 0.97458, 0.92959, 0.98428, 0.79344, 2.84719, 0.72325, 0.72325, 0.71446, 0.61941
51, 1.06870, 1.01188, 1.03496, 1.00039, 0.90386, 6.99882, 0.88416, 0.88416, 0.94264, 1.04602
52, 0.41922, 0.43336, 0.42868, 0.43336, 0.45465, 5.80189, 0.44814, 0.44814, 0.45643, 0.48124
53, 1.37772, 1.38576, 1.36323, 1.38732, 1.51427, 5.77781, 1.31115, 1.31115, 1.30354, 1.57282
54, 1.42280, 0.76201, 1.23622, 0.91691, 1.12259, 6.92094, 1.11630, 1.11630, 1.07464, 1.25705
55, 0.58819, 0.56032, 0.57935, 0.56032, 0.43411, 5.75375, 0.49234, 0.49234, 0.52390, 0.77261
56, 0.56284, 0.50561, 0.54417, 0.39471, 0.71353, 5.58999, 0.41109, 0.41109, 0.51080, 0.47607
57, 0.13044, 0.17206, 0.16325, 0.17372, 0.12596, 3.37884, 0.12716, 0.12716, 0.10703, 0.13313
58, 0.75081, 0.81357, 0.81999, 0.80864, 1.10611, 4.79432, 0.69072, 0.69072, 0.70126, 0.69389
59, 0.65040, 0.65715, 0.64321, 0.65715, 0.58679, 2.87437, 0.47471, 0.47471, 0.50140, 0.54158
60, 1.46930, 1.42944, 1.43068, 1.42944, 1.35433, 5.46715, 1.29397, 1.29397, 1.24976, 1.29974
61, 0.24387, 0.23552, 0.24260, 0.24377, 0.23561, 11.14470, 0.19564, 0.19564, 0.21884, 0.42012
62, 0.67833, 0.68747, 0.68043, 0.68747, 0.54333, 3.65981, 0.49585, 0.49585, 0.52958, 0.68279
63, 1.51158, 1.43407, 1.49147, 1.45483, 1.43362, 6.46001, 1.63777, 1.63777, 1.72299, 1.89258
64, 1.60203, 1.47758, 1.45977, 1.46606, 1.46250, 2.99906, 0.98975, 0.98975, 1.09285, 1.18007
65, 1.74335, 1.63825, 1.68717, 1.63646, 1.57864, 6.34812, 1.37762, 1.37762, 1.65965, 1.39457
66, 0.59287, 0.58004, 0.59293, 0.58004, 0.61164, 5.33589, 0.47963, 0.47963, 0.50473, 0.56124
67, 0.51043, 0.47567, 0.48190, 0.47567, 0.49906, 4.95288, 0.47742, 0.47742, 0.45459, 0.45410
68, 1.11424, 1.08293, 1.08305, 1.08293, 1.08706, 3.64615, 0.97784, 0.97784, 1.01602, 1.10097
69, 0.58252, 0.44811, 0.46773, 0.46345, 0.39898, 8.31486, 0.44312, 0.44312, 0.42562, 0.41061
70, 0.66448, 0.50325, 0.52874, 0.53888, 0.64063, 2.43331, 0.67609, 0.67609, 0.75698, 0.83765
71, 0.85083, 0.81624, 0.77145, 0.81624, 1.05769, 8.13628, 0.65993, 0.65993, 0.64878, 0.27260
72, 0.35120, 0.33614, 0.33847, 0.33614, 0.23795, 8.15185, 0.21707, 0.21707, 0.19407, 0.30498
73, 0.64102, 0.61431, 0.63401, 0.63050, 0.42165, 4.90318, 0.52947, 0.52947, 0.49831, 0.56341
74, 0.69319, 0.59550, 0.62645, 0.59550, 0.53510, 4.71494, 0.52401, 0.52401, 0.54920, 0.69540
75, 0.51777, 0.56927, 0.56284, 0.59267, 0.52653, 5.85636, 0.50159, 0.50159, 0.49465, 0.63159
76, 1.52156, 1.45064, 1.48547, 1.45064, 1.52572, 3.46175, 1.34497, 1.34497, 1.42068, 1.45496
77, 0.48640, 0.48656, 0.47406, 0.48656, 0.52200, 7.25679, 0.37805, 0.37805, 0.40747, 0.50363
78, 0.83840, 0.81449, 0.81448, 0.81449, 0.78632, 6.66961, 0.71945, 0.71945, 0.74229, 0.72965
79, 2.07172, 2.03637, 2.03852, 2.03637, 2.01945, 5.16442, 1.45027, 1.45027, 1.66296, 1.97619
80, 0.29381, 0.32365, 0.33513, 0.32602, 0.43436, 6.52025, 0.43117, 0.43117, 0.46685, 0.49876
81, 3.23008, 3.79870, 3.33043, 3.59444, 4.18184, 5.53948, 2.95713, 2.95713, 2.61894, 3.35956
82, 1.21045, 1.09717, 1.08626, 1.09717, 1.36055, 10.41796, 1.13069, 1.13069, 1.00733, 1.00620
83, 0.76892, 0.77436, 0.76610, 0.78199, 0.60136, 5.04526, 0.54941, 0.54941, 0.51692, 0.52520
84, 1.39641, 1.32651, 1.35185, 1.33228, 1.33919, 9.04416, 1.23528, 1.23528, 1.31396, 1.41779
85, 1.11894, 1.08158, 1.06854, 1.08158, 0.99394, 3.95419, 0.84922, 0.84922, 0.93489, 1.13715
86, 0.71538, 0.79765, 0.72384, 0.81083, 0.49652, 6.13732, 0.54064, 0.54064, 0.53134, 0.53249
87, 1.52033, 1.48607, 1.65251, 1.45620, 1.21386, 5.13548, 1.42321, 1.42321, 1.29633, 1.59261
88, 0.59395, 0.59696, 0.59227, 0.59696, 0.53064, 7.19016, 0.59037, 0.59037, 0.59167, 0.57720
89, 0.74374, 0.69887, 0.69998, 0.69867, 0.88424, 7.89296, 0.77675, 0.77675, 0.84207, 0.85163
90, 1.38761, 1.42322, 1.39071, 1.42295, 1.16080, 5.34656, 1.22308, 1.22308, 1.27448, 1.30270
91, 1.13446, 1.11127, 1.18205, 1.14487, 0.54772, 3.68385, 1.10643, 1.10643, 0.86028, 1.38247
92, 1.94075, 1.91918, 1.91821, 1.91882, 1.71187, 10.12585, 1.67308, 1.67308, 1.04682, 1.40674
93, 2.40275, 2.13177, 2.17553, 2.15573, 3.11131, 3.79262, 1.54314, 1.54314, 1.10931, 1.68076
94, 0.47283, 0.56114, 0.54596, 0.57781, 0.62174, 5.78333, 0.65866, 0.65866, 0.64209, 0.61292
95, 1.52407, 1.44112, 1.67291, 1.41321, 0.68102, 3.30869, 0.70950, 0.70950, 1.20138, 1.45771
96, 1.10363, 1.06729, 1.05717, 1.06729, 1.09325, 3.09891, 0.95729, 0.95729, 1.09488, 1.12019
97, 1.82153, 2.04456, 2.04203, 2.04586, 2.06578, 1.90048, 1.89333, 1.89333, 1.66349, 2.11370
98, 0.71091, 0.71158, 0.70459, 0.71158, 0.57874, 5.33464, 0.52550, 0.52550, 0.53957, 0.62568
99, 1.09683, 1.04759, 1.06393, 1.04759, 0.96972, 4.98698, 0.74037, 0.74037, 0.78213, 1.05394
100, 0.82049, 0.78890, 0.79304, 0.78890, 0.73497, 5.09557, 0.60492, 0.60492, 0.59946, 0.67592
101, 0.53381, 0.41130, 0.39155, 0.39203, 0.53115, 4.95623, 0.25700, 0.25700, 0.32116, 0.44160
102, 0.48550, 0.53132, 0.49820, 0.51219, 0.31841, 4.98565, 0.38791, 0.38791, 0.35497, 0.69040
103, 0.68646, 0.59602, 0.59151, 0.59602, 0.66689, 3.29830, 0.52450, 0.52450, 0.52833, 0.67161
104, 1.78341, 1.87100, 1.54335, 1.49491, 0.88830, 2.06662, 1.79346, 1.79346, 0.85127, 2.02147
105, 0.96803, 0.92247, 0.98223, 0.95438, 1.22927, 7.88318, 0.92353, 0.92353, 0.83894, 1.07320
106, 0.33730, 0.32507, 0.31093, 0.30515, 0.33322, 3.71907, 0.31865, 0.31865, 0.30983, 0.38999
107, 0.96472, 0.92730, 0.92049, 0.92730, 0.85164, 3.88390, 0.63424, 0.63424, 0.77705, 0.82399
108, 0.78171, 0.81399, 0.77616, 0.76468, 0.43202, 9.70280, 0.46788, 0.46788, 0.46584, 0.58348
109, 1.25143, 1.15648, 1.17491, 1.15648, 0.97599, 2.61621, 0.80966, 0.80966, 0.81687, 0.93681
110, 0.92854, 0.80084, 0.82098, 0.82648, 0.98502, 3.30378, 0.80620, 0.80620, 0.88631, 0.91420
111, 2.21417, 2.48122, 2.48715, 2.49695, 2.69887, 5.59180, 2.22739, 2.22739, 2.19572, 2.40308
112, 1.01423, 0.93203, 0.94414, 0.93203, 0.65755, 5.46551, 0.42283, 0.42283, 0.47000, 0.84926
113, 1.44069, 1.44402, 1.48323, 1.44402, 1.79795, 4.30912, 1.39341, 1.39341, 1.47728, 1.44225
114, 0.93736, 0.77385, 0.86880, 0.84280, 0.43859, 2.56944, 0.34091, 0.34091, 0.34352, 0.57939
115, 1.77951, 1.76243, 1.76752, 1.76243, 1.36187, 2.99160, 1.12039, 1.12039, 1.11380, 1.48729
116, 1.31112, 1.23336, 1.24305, 1.23336, 0.98848, 5.10658, 1.12382, 1.12382, 1.03451, 1.08395
117, 2.52731, 2.83399, 2.40523, 2.70950, 2.34603, 1.58184, 2.67661, 2.67661, 2.06570, 2.22218
118, 0.66363, 0.83982, 0.78589, 0.83616, 0.95825, 6.16832, 0.72699, 0.72699, 0.76630, 0.68358
119, 1.26876, 1.13397, 1.12076, 1.13796, 0.81646, 5.14168, 0.80169, 0.80169, 0.75643, 1.06394
120, 0.74107, 0.65498, 0.64460, 0.65498, 0.51946, 5.31270, 0.44240, 0.44240, 0.59450, 0.69576
121, 0.98364, 0.92340, 0.90479, 0.96252, 0.90971, 5.19239, 0.81295, 0.81295, 0.84697, 0.86431
122, 0.69593, 0.60432, 0.69136, 0.64253, 0.45595, 6.14777, 0.46374, 0.46374, 0.48125, 0.45952
123, 0.68848, 0.61188, 0.57797, 0.61102, 0.64625, 7.47423, 0.40038, 0.40038, 0.42281, 0.41782
124, 1.25846, 1.21417, 1.21137, 1.21417, 0.91760, 4.45898, 0.96422, 0.96422, 0.87640, 0.99463
125, 0.53932, 0.49270, 0.50929, 0.51748, 0.56503, 4.02186, 0.48833, 0.48833, 0.46973, 0.52524
126, 0.65959, 0.60629, 0.65729, 0.62164, 0.54080, 8.49368, 0.65781, 0.65781, 0.66007, 0.66009
127, 2.07931, 1.88510, 1.71975, 1.74971, 1.88295, 11.12938, 2.00267, 2.00267, 2.01795, 2.18642
128, 1.02238, 0.99317, 0.99070, 0.99317, 0.66534, 4.78657, 0.58370, 0.58370, 0.54788, 0.76151
129, 0.41990, 0.39066, 0.39839, 0.39066, 0.33965, 6.62153, 0.33071, 0.33071, 0.32081, 0.33891
130, 1.86788, 1.84631, 1.82184, 1.85709, 1.98618, 6.19929, 1.37663, 1.37663, 1.75535, 2.13807
131, 0.78295, 0.83226, 0.81576, 0.84358, 0.74609, 3.48402, 0.91130, 0.91130, 0.82756, 0.79501
