uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.03186, 0.07287, 0.03496, 0.06811, 0.00000, 0.18449, 0.00000, 0.00000, 0.10071, 0.00000
2, 0.02961, 0.03503, 0.02610, 0.03503, 0.03065, 0.14277, 0.04521, 0.04521, 0.18383, 0.05394
3, 0.02637, 0.05695, 0.05571, 0.05719, 0.00000, 0.23650, 0.03789, 0.03789, 0.03789, 0.02663
4, 0.00000, 0.02961, 0.00000, 0.02822, 0.07333, 0.24826, 0.19677, 0.19677, 0.27028, 0.06806
5, 0.01013, 0.02855, 0.02813, 0.02855, 0.01234, 0.05353, 0.03002, 0.03002, 0.01063, 0.00929
6, 0.00000, 0.00000, 0.00000, 0.02719, 0.05836, 0.13784, 0.09091, 0.09091, 0.09240, 0.03005
7, 0.21005, 0.18108, 0.16490, 0.28333, 0.00000, 0.57920, 0.27138, 0.27138, 0.44050, 0.18623
8, 0.00000, 0.00000, 0.00000, 0.00000, 0.11306, 0.10149, 0.10752, 0.10752, 0.09855, 0.02821
9, 0.05422, 0.05517, 0.05448, 0.05517, 0.02420, 0.24405, 0.20195, 0.20195, 0.14317, 0.06232
10, 0.04084, 0.04047, 0.04701, 0.04417, 0.00000, 0.03785, 0.06794, 0.06794, 0.05750, 0.03875
11, 0.00000, 0.09446, 0.04755, 0.04870, 0.00000, 0.09640, 0.05201, 0.05201, 0.08886, 0.00000
12, 0.00000, 0.00000, 0.00000, 0.00000, 0.03358, 0.03741, 0.00000, 0.00000, 0.00000, 0.00000
13, 0.00000, 0.09755, 0.06610, 0.07207, 0.00000, 0.23930, 0.04361, 0.04361, 0.04465, 0.03319
14, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.13854, 0.00000, 0.00000, 0.00000, 0.00000
15, 0.03132, 0.01556, 0.01584, 0.01556, 0.03926, 0.11870, 0.11993, 0.11993, 0.05750, 0.04831
16, 0.00000, 0.04336, 0.08138, 0.09898, 0.08397, 0.34271, 0.13848, 0.13848, 0.12070, 0.04606
17, 0.00000, 0.00000, 0.00000, 0.03114, 0.11769, 0.03149, 0.10575, 0.10575, 0.00000, 0.00000
18, 0.00000, 0.07151, 0.00000, 0.00000, 0.03416, 0.12117, 0.00000, 0.00000, 0.00000, 0.00000
19, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.14007, 0.00000, 0.00000, 0.03926, 0.00000
20, 0.05144, 0.03467, 0.02694, 0.03467, 0.03110, 0.20294, 0.17738, 0.17738, 0.13040, 0.06598
21, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.04073, 0.00000, 0.00000, 0.01731, 0.01720
22, 0.01481, 0.00719, 0.00736, 0.00719, 0.03153, 0.13585, 0.06264, 0.06264, 0.07101, 0.02561
23, 0.04185, 0.02417, 0.02361, 0.02417, 0.07944, 0.26818, 0.13350, 0.13350, 0.17784, 0.07076
24, 0.02238, 0.02305, 0.02455, 0.02305, 0.04746, 0.17164, 0.11084, 0.11084, 0.19761, 0.08362
25, 0.03587, 0.02384, 0.00000, 0.01840, 0.06077, 0.26422, 0.04705, 0.04705, 0.05705, 0.02213
26, 0.00000, 0.02479, 0.02552, 0.02505, 0.00000, 0.08285, 0.05152, 0.05152, 0.02679, 0.00000
27, 0.09014, 0.08129, 0.08282, 0.08174, 0.04843, 0.15216, 0.20694, 0.20694, 0.23506, 0.18188
28, 0.00000, 0.00000, 0.00000, 0.00000, 0.05559, 0.03427, 0.01727, 0.01727, 0.00000, 0.00000
29, 0.03917, 0.07668, 0.00000, 0.00000, 0.00000, 0.11750, 0.07670, 0.07670, 0.13059, 0.11112
30, 0.03687, 0.07250, 0.03797, 0.03996, 0.00000, 0.08459, 0.04047, 0.04047, 0.05876, 0.04084
31, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.10006, 0.00000, 0.00000, 0.00000, 0.00000
32, 0.04255, 0.04387, 0.08045, 0.07604, 0.00000, 0.05351, 0.08510, 0.08510, 0.15466, 0.08559
33, 0.11419, 0.11870, 0.11215, 0.11611, 0.00000, 0.13635, 0.22748, 0.22748, 0.18724, 0.00000
34, 0.13148, 0.09462, 0.08846, 0.10509, 0.12202, 0.28498, 0.15596, 0.15596, 0.14193, 0.08031
35, 0.02534, 0.00000, 0.00000, 0.00000, 0.02349, 0.16755, 0.06072, 0.06072, 0.06960, 0.04859
36, 0.00000, 0.02266, 0.00000, 0.02180, 0.05701, 0.13854, 0.02235, 0.02235, 0.04611, 0.02065
37, 0.03936, 0.05824, 0.03064, 0.05557, 0.01538, 0.31695, 0.15789, 0.15789, 0.05682, 0.04050
38, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.31860, 0.01969, 0.01969, 0.05929, 0.01671
39, 0.02148, 0.00000, 0.02126, 0.00000, 0.05718, 0.16611, 0.08882, 0.08882, 0.08814, 0.00000
40, 0.04588, 0.04802, 0.03339, 0.04834, 0.07407, 0.17833, 0.08104, 0.08104, 0.05290, 0.01680
41, 0.03210, 0.02087, 0.02159, 0.02087, 0.06528, 0.23705, 0.09644, 0.09644, 0.09688, 0.02400
42, 0.02551, 0.02936, 0.02722, 0.03123, 0.00000, 0.08918, 0.00000, 0.00000, 0.05705, 0.02563
43, 0.09123, 0.07435, 0.08250, 0.07618, 0.00000, 0.21944, 0.17993, 0.17993, 0.14988, 0.06879
44, 0.00000, 0.03868, 0.00000, 0.00000, 0.00000, 0.03833, 0.00000, 0.00000, 0.00000, 0.00000
45, 0.01787, 0.01742, 0.01752, 0.01742, 0.01848, 0.12090, 0.10915, 0.10915, 0.14915, 0.08332
46, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.06167, 0.00000, 0.00000, 0.00000, 0.00000
47, 0.03399, 0.07387, 0.03591, 0.07587, 0.00000, 0.29166, 0.08016, 0.08016, 0.09159, 0.09788
48, 0.03821, 0.02449, 0.02469, 0.02449, 0.06817, 0.20223, 0.10354, 0.10354, 0.08682, 0.06389
49, 0.05550, 0.05454, 0.00000, 0.05688, 0.18659, 0.22454, 0.27366, 0.27366, 0.21016, 0.08990
50, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
51, 0.07915, 0.04893, 0.00000, 0.00000, 0.00000, 0.16653, 0.00000, 0.00000, 0.07991, 0.03926
52, 0.00000, 0.00000, 0.00000, 0.00000, 0.05402, 0.13127, 0.02194, 0.02194, 0.02275, 0.00000
53, 0.00000, 0.00000, 0.00000, 0.00000, 0.08096, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
