uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.01000, 0.02000, 0.02000, 0.02000, 0.02000, 0.11000, 0.04000, 0.04000, 0.02000, 0.01000
2, 0.01000, 0.00000, 0.00000, 0.00000, 0.02000, 0.05000, 0.01000, 0.01000, 0.01000, 0.00000
3, 0.02000, 0.02000, 0.03000, 0.02000, 0.02000, 0.01000, 0.03000, 0.03000, 0.03000, 0.01000
4, 0.02000, 0.01000, 0.01000, 0.01000, 0.05000, 0.10000, 0.06000, 0.06000, 0.04000, 0.03000
5, 0.00000, 0.00000, 0.00000, 0.00000, 0.03000, 0.04000, 0.04000, 0.04000, 0.01000, 0.00000
6, 0.01000, 0.02000, 0.03000, 0.02000, 0.00000, 0.09000, 0.01000, 0.01000, 0.01000, 0.04000
7, 0.03000, 0.02000, 0.02000, 0.02000, 0.04000, 0.11000, 0.02000, 0.02000, 0.01000, 0.01000
8, 0.00000, 0.00000, 0.00000, 0.00000, 0.04000, 0.04000, 0.03000, 0.03000, 0.02000, 0.00000
9, 0.02000, 0.04000, 0.03000, 0.04000, 0.03000, 0.17000, 0.08000, 0.08000, 0.10000, 0.06000
10, 0.01000, 0.02000, 0.03000, 0.02000, 0.00000, 0.10000, 0.10000, 0.10000, 0.11000, 0.03000
11, 0.00000, 0.00000, 0.00000, 0.00000, 0.01000, 0.06000, 0.01000, 0.01000, 0.01000, 0.00000
12, 0.02000, 0.02000, 0.02000, 0.02000, 0.04000, 0.06000, 0.02000, 0.02000, 0.02000, 0.01000
13, 0.00000, 0.00000, 0.00000, 0.00000, 0.01000, 0.01000, 0.00000, 0.00000, 0.00000, 0.00000
14, 0.01000, 0.02000, 0.02000, 0.02000, 0.15000, 0.18000, 0.10000, 0.10000, 0.12000, 0.05000
15, 0.05000, 0.05000, 0.05000, 0.05000, 0.06000, 0.15000, 0.12000, 0.12000, 0.11000, 0.05000
16, 0.00000, 0.01000, 0.00000, 0.01000, 0.02000, 0.05000, 0.03000, 0.03000, 0.03000, 0.00000
17, 0.05000, 0.04000, 0.02000, 0.04000, 0.10000, 0.13000, 0.06000, 0.06000, 0.12000, 0.03000
18, 0.00000, 0.00000, 0.00000, 0.00000, 0.01000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
19, 0.02000, 0.01000, 0.01000, 0.01000, 0.12000, 0.11000, 0.08000, 0.08000, 0.06000, 0.04000
20, 0.01000, 0.01000, 0.00000, 0.01000, 0.01000, 0.04000, 0.00000, 0.00000, 0.04000, 0.01000
21, 0.00000, 0.00000, 0.01000, 0.00000, 0.04000, 0.12000, 0.04000, 0.04000, 0.06000, 0.02000
22, 0.02000, 0.01000, 0.01000, 0.02000, 0.00000, 0.08000, 0.02000, 0.02000, 0.01000, 0.02000
23, 0.00000, 0.00000, 0.00000, 0.00000, 0.01000, 0.02000, 0.00000, 0.00000, 0.03000, 0.00000
24, 0.01000, 0.02000, 0.02000, 0.02000, 0.04000, 0.09000, 0.03000, 0.03000, 0.03000, 0.01000
25, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.02000, 0.02000, 0.01000, 0.02000
26, 0.01000, 0.02000, 0.02000, 0.02000, 0.09000, 0.18000, 0.12000, 0.12000, 0.06000, 0.03000
27, 0.02000, 0.03000, 0.03000, 0.03000, 0.02000, 0.12000, 0.04000, 0.04000, 0.06000, 0.04000
28, 0.04000, 0.04000, 0.04000, 0.04000, 0.10000, 0.18000, 0.14000, 0.14000, 0.11000, 0.05000
29, 0.02000, 0.02000, 0.02000, 0.02000, 0.04000, 0.13000, 0.07000, 0.07000, 0.10000, 0.02000
30, 0.09000, 0.08000, 0.06000, 0.08000, 0.02000, 0.11000, 0.18000, 0.18000, 0.16000, 0.06000
31, 0.00000, 0.00000, 0.01000, 0.00000, 0.03000, 0.09000, 0.01000, 0.01000, 0.02000, 0.00000
32, 0.02000, 0.00000, 0.01000, 0.00000, 0.07000, 0.20000, 0.11000, 0.11000, 0.12000, 0.05000
33, 0.02000, 0.02000, 0.02000, 0.02000, 0.03000, 0.06000, 0.02000, 0.02000, 0.01000, 0.01000
34, 0.00000, 0.01000, 0.00000, 0.00000, 0.03000, 0.06000, 0.05000, 0.05000, 0.04000, 0.01000
35, 0.01000, 0.01000, 0.01000, 0.01000, 0.01000, 0.02000, 0.02000, 0.02000, 0.03000, 0.00000
36, 0.01000, 0.03000, 0.01000, 0.03000, 0.08000, 0.17000, 0.12000, 0.12000, 0.15000, 0.05000
37, 0.01000, 0.01000, 0.01000, 0.01000, 0.11000, 0.09000, 0.07000, 0.07000, 0.08000, 0.02000
38, 0.00000, 0.01000, 0.00000, 0.00000, 0.00000, 0.02000, 0.01000, 0.01000, 0.01000, 0.00000
39, 0.02000, 0.02000, 0.01000, 0.02000, 0.09000, 0.13000, 0.10000, 0.10000, 0.04000, 0.02000
40, 0.02000, 0.01000, 0.02000, 0.01000, 0.09000, 0.18000, 0.07000, 0.07000, 0.09000, 0.05000
41, 0.02000, 0.01000, 0.01000, 0.01000, 0.07000, 0.12000, 0.09000, 0.09000, 0.05000, 0.08000
42, 0.01000, 0.02000, 0.02000, 0.02000, 0.10000, 0.15000, 0.08000, 0.08000, 0.09000, 0.04000
43, 0.00000, 0.01000, 0.01000, 0.01000, 0.08000, 0.03000, 0.06000, 0.06000, 0.05000, 0.01000
44, 0.03000, 0.03000, 0.03000, 0.03000, 0.03000, 0.10000, 0.06000, 0.06000, 0.06000, 0.03000
45, 0.00000, 0.02000, 0.02000, 0.01000, 0.01000, 0.07000, 0.00000, 0.00000, 0.01000, 0.01000
46, 0.00000, 0.01000, 0.00000, 0.01000, 0.15000, 0.18000, 0.11000, 0.11000, 0.07000, 0.03000
47, 0.02000, 0.01000, 0.02000, 0.01000, 0.07000, 0.17000, 0.07000, 0.07000, 0.12000, 0.09000
48, 0.00000, 0.00000, 0.00000, 0.00000, 0.04000, 0.11000, 0.03000, 0.03000, 0.02000, 0.01000
49, 0.02000, 0.01000, 0.01000, 0.01000, 0.09000, 0.15000, 0.09000, 0.09000, 0.05000, 0.02000
50, 0.06000, 0.06000, 0.06000, 0.06000, 0.04000, 0.12000, 0.12000, 0.12000, 0.15000, 0.10000
51, 0.05000, 0.04000, 0.03000, 0.04000, 0.09000, 0.16000, 0.05000, 0.05000, 0.08000, 0.05000
52, 0.05000, 0.04000, 0.05000, 0.04000, 0.11000, 0.16000, 0.14000, 0.14000, 0.15000, 0.13000
53, 0.03000, 0.02000, 0.02000, 0.02000, 0.07000, 0.18000, 0.06000, 0.06000, 0.10000, 0.03000
54, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 0.00000, 0.00000, 0.00000, 0.00000
55, 0.01000, 0.01000, 0.01000, 0.01000, 0.02000, 0.05000, 0.01000, 0.01000, 0.01000, 0.00000
56, 0.02000, 0.02000, 0.02000, 0.02000, 0.10000, 0.09000, 0.10000, 0.10000, 0.09000, 0.04000
57, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.01000
