uid, UserKNN-Amplified, UserKNN-BM25, UserKNN-Cosine, UserKNN-IDF, ItemKNN-AdjustedCosine, BPR, MF, SVD, PMF, NMF
1, 0.61758, 0.65991, 0.59402, 0.63498, 0.57043, 2.26706, 0.48999, 0.48999, 0.49870, 0.47831
2, 0.81684, 0.83251, 0.82879, 0.83251, 0.78359, 2.56683, 0.77552, 0.77552, 0.78524, 0.90911
3, 0.69388, 0.63417, 0.63438, 0.63013, 0.75850, 0.96465, 0.62152, 0.62152, 0.71671, 0.64867
4, 0.82729, 0.81187, 0.80827, 0.81108, 0.80137, 2.25158, 0.82267, 0.82267, 0.78635, 0.75547
5, 0.85617, 0.84712, 0.84195, 0.84712, 0.84488, 2.71469, 0.68246, 0.68246, 0.69594, 0.85758
6, 0.60035, 0.53896, 0.53271, 0.53066, 0.50270, 2.65215, 0.51389, 0.51389, 0.48577, 0.52945
7, 0.78503, 0.80863, 0.75071, 0.83476, 0.38756, 1.44023, 0.45876, 0.45876, 0.42891, 0.46667
8, 1.01914, 0.99414, 1.00337, 0.99414, 1.01525, 1.99619, 0.95706, 0.95706, 0.96636, 0.99159
9, 1.03165, 0.95421, 0.97084, 0.95421, 0.90720, 2.82504, 0.99688, 0.99688, 0.93735, 0.98257
10, 0.88822, 0.86817, 0.88255, 0.88246, 0.78176, 1.99549, 0.73593, 0.73593, 0.62645, 0.73178
11, 0.95854, 0.94524, 0.96059, 0.94366, 0.74068, 2.84780, 0.91659, 0.91659, 0.87229, 1.00594
12, 0.47479, 0.46206, 0.46857, 0.45932, 0.65771, 2.19201, 0.44395, 0.44395, 0.43929, 0.46080
13, 0.77612, 0.67192, 0.71465, 0.68473, 0.76771, 2.76312, 0.65486, 0.65486, 0.72931, 0.70813
14, 0.80689, 0.80180, 0.79344, 0.79833, 0.67594, 2.96865, 0.67232, 0.67232, 0.60623, 0.98124
15, 1.09885, 1.08440, 1.08721, 1.08440, 0.93762, 1.65057, 0.87496, 0.87496, 0.84098, 0.97946
16, 0.68758, 0.56826, 0.56975, 0.60308, 0.46625, 1.90355, 0.46559, 0.46559, 0.51288, 0.53125
17, 1.24795, 1.26588, 1.23832, 1.27781, 1.33578, 2.38732, 1.03660, 1.03660, 1.16379, 1.13348
18, 1.16299, 1.19517, 1.16684, 1.18529, 1.30464, 2.10120, 1.08334, 1.08334, 1.08898, 1.15811
19, 1.39696, 1.34716, 1.34552, 1.35188, 1.41483, 1.98792, 1.24344, 1.24344, 1.31379, 1.36290
20, 0.87133, 0.86436, 0.86065, 0.86436, 0.85011, 2.49560, 0.82497, 0.82497, 0.83593, 0.84367
21, 0.79922, 0.76286, 0.74943, 0.76286, 0.75775, 2.38238, 0.73775, 0.73775, 0.77335, 0.76171
22, 1.17848, 1.14706, 1.14037, 1.14706, 1.11454, 2.21065, 1.14131, 1.14131, 1.14406, 1.20876
23, 0.86211, 0.84419, 0.83664, 0.83682, 0.91488, 2.35765, 0.68951, 0.68951, 0.74679, 0.77510
24, 1.12715, 1.12935, 1.13298, 1.12935, 1.05545, 2.15560, 1.06838, 1.06838, 1.09275, 1.14518
25, 1.31691, 1.28086, 1.26934, 1.27301, 1.30554, 1.81348, 1.21817, 1.21817, 1.28664, 1.34078
26, 0.77787, 0.72987, 0.73698, 0.72964, 0.85198, 2.24253, 0.61175, 0.61175, 0.61180, 0.69536
27, 0.76786, 0.75949, 0.76042, 0.75949, 0.74990, 3.14290, 0.66060, 0.66060, 0.66281, 0.66159
28, 1.10684, 1.06721, 1.05437, 1.06721, 0.94878, 2.55799, 1.04837, 1.04837, 1.06012, 1.07089
29, 0.79216, 0.74814, 0.76024, 0.73453, 0.70238, 2.53528, 0.66725, 0.66725, 0.69960, 0.72691
30, 1.39377, 1.38010, 1.37745, 1.38169, 1.31844, 2.54451, 1.37993, 1.37993, 1.36742, 1.41770
31, 1.53564, 1.44232, 1.45352, 1.44774, 1.36671, 2.09616, 1.32757, 1.32757, 1.22748, 1.17499
32, 0.77238, 0.74042, 0.81091, 0.76965, 0.91503, 3.15256, 0.85080, 0.85080, 0.85252, 0.86436
33, 0.91143, 0.83387, 0.83817, 0.84978, 0.76431, 2.44024, 0.63372, 0.63372, 0.67983, 0.75144
34, 0.77368, 0.71842, 0.75924, 0.72314, 0.63385, 2.70441, 0.72835, 0.72835, 0.70717, 0.75265
35, 1.13834, 1.11758, 1.12601, 1.11758, 1.10290, 2.20012, 1.03033, 1.03033, 1.01890, 1.10498
36, 1.12454, 1.03712, 1.04587, 1.03003, 1.06064, 2.43923, 1.07650, 1.07650, 1.03781, 1.07646
37, 1.05034, 1.00691, 1.01635, 1.01200, 0.95063, 2.13938, 0.89390, 0.89390, 0.90094, 0.90322
38, 0.67912, 0.59024, 0.59877, 0.58639, 0.58252, 2.35435, 0.54898, 0.54898, 0.58489, 0.62998
39, 0.88061, 0.86920, 0.86234, 0.87043, 0.83048, 2.58189, 0.86802, 0.86802, 0.84859, 0.84941
40, 1.16833, 1.12940, 1.13227, 1.12947, 1.15950, 2.03688, 1.11752, 1.11752, 1.12004, 1.14289
41, 0.94555, 0.91992, 0.92997, 0.91992, 0.88382, 2.23263, 0.81146, 0.81146, 0.86091, 0.89365
42, 1.73947, 1.76430, 1.75229, 1.77159, 1.74699, 2.44942, 1.66592, 1.66592, 1.73020, 1.77022
43, 0.51856, 0.53338, 0.50664, 0.52560, 0.68853, 2.95671, 0.79971, 0.79971, 0.76249, 0.74752
44, 0.52439, 0.53156, 0.44668, 0.47206, 0.55319, 1.78302, 0.57838, 0.57838, 0.55916, 0.58052
45, 1.17996, 1.20033, 1.17176, 1.20033, 1.24458, 2.71591, 1.16585, 1.16585, 1.19128, 1.21803
46, 1.26727, 1.22585, 1.26283, 1.25902, 1.45428, 1.41352, 1.32256, 1.32256, 1.35336, 1.28212
47, 0.97501, 1.05865, 0.98819, 1.02513, 1.11125, 1.95121, 1.15770, 1.15770, 1.16604, 1.39861
48, 0.58555, 0.54278, 0.53773, 0.54278, 0.51085, 2.71384, 0.51657, 0.51657, 0.51826, 0.56723
49, 0.69049, 0.53765, 0.56020, 0.55578, 0.51887, 3.26932, 0.54861, 0.54861, 0.59133, 0.59831
50, 0.98286, 0.98721, 0.96415, 0.99211, 0.89075, 1.68736, 0.85044, 0.85044, 0.84526, 0.78703
51, 1.03378, 1.00592, 1.01733, 1.00019, 0.95072, 2.64553, 0.94030, 0.94030, 0.97090, 1.02275
52, 0.64747, 0.65830, 0.65474, 0.65830, 0.67427, 2.40871, 0.66943, 0.66943, 0.67559, 0.69371
53, 1.17376, 1.17718, 1.16757, 1.17784, 1.23056, 2.40371, 1.14506, 1.14506, 1.14173, 1.25412
54, 1.19281, 0.87293, 1.11186, 0.95756, 1.05952, 2.63077, 1.05655, 1.05655, 1.03665, 1.12118
55, 0.76694, 0.74854, 0.76115, 0.74854, 0.65887, 2.39870, 0.70167, 0.70167, 0.72381, 0.87898
56, 0.75023, 0.71107, 0.73768, 0.62826, 0.84470, 2.36432, 0.64116, 0.64116, 0.71470, 0.68998
57, 0.36117, 0.41480, 0.40404, 0.41680, 0.35491, 1.83816, 0.35660, 0.35660, 0.32715, 0.36486
58, 0.86649, 0.90198, 0.90553, 0.89925, 1.05172, 2.18959, 0.83110, 0.83110, 0.83741, 0.83300
59, 0.80647, 0.81065, 0.80200, 0.81065, 0.76602, 1.69540, 0.68899, 0.68899, 0.70810, 0.73592
60, 1.21215, 1.19559, 1.19611, 1.19559, 1.16376, 2.33819, 1.13753, 1.13753, 1.11793, 1.14006
61, 0.49383, 0.48531, 0.49255, 0.49373, 0.48540, 3.33837, 0.44231, 0.44231, 0.46781, 0.64817
62, 0.82361, 0.82914, 0.82488, 0.82914, 0.73711, 1.91306, 0.70417, 0.70417, 0.72772, 0.82631
63, 1.22946, 1.19753, 1.22126, 1.20617, 1.19734, 2.54165, 1.27975, 1.27975, 1.31263, 1.37571
64, 1.26571, 1.21556, 1.20821, 1.21081, 1.20934, 1.73178, 0.99486, 0.99486, 1.04539, 1.08631
65, 1.32036, 1.27994, 1.29891, 1.27924, 1.25644, 2.51955, 1.17372, 1.17372, 1.28827, 1.18092
66, 0.76998, 0.76160, 0.77002, 0.76160, 0.78208, 2.30995, 0.69255, 0.69255, 0.71044, 0.74916
67, 0.71444, 0.68969, 0.69419, 0.68969, 0.70644, 2.22551, 0.69095, 0.69095, 0.67423, 0.67387
68, 1.05557, 1.04064, 1.04070, 1.04064, 1.04262, 1.90949, 0.98886, 0.98886, 1.00798, 1.04927
69, 0.76323, 0.66941, 0.68390, 0.68077, 0.63165, 2.88355, 0.66567, 0.66567, 0.65240, 0.64079
70, 0.81516, 0.70940, 0.72714, 0.73408, 0.80040, 1.55991, 0.82224, 0.82224, 0.87005, 0.91523
71, 0.92241, 0.90346, 0.87832, 0.90346, 1.02844, 2.85242, 0.81236, 0.81236, 0.80547, 0.52211
72, 0.59262, 0.57978, 0.58178, 0.57978, 0.48780, 2.85514, 0.46591, 0.46591, 0.44053, 0.55225
73, 0.80063, 0.78378, 0.79625, 0.79404, 0.64934, 2.21431, 0.72765, 0.72765, 0.70591, 0.75060
74, 0.83258, 0.77168, 0.79148, 0.77168, 0.73150, 2.17139, 0.72389, 0.72389, 0.74108, 0.83391
75, 0.71956, 0.75450, 0.75023, 0.76985, 0.72563, 2.41999, 0.70823, 0.70823, 0.70331, 0.79473
76, 1.23351, 1.20442, 1.21880, 1.20442, 1.23520, 1.86058, 1.15973, 1.15973, 1.19192, 1.20622
77, 0.69742, 0.69754, 0.68852, 0.69754, 0.72249, 2.69384, 0.61485, 0.61485, 0.63833, 0.70967
78, 0.91564, 0.90249, 0.90249, 0.90249, 0.88675, 2.58256, 0.84821, 0.84821, 0.86156, 0.85420
